Target_genes	Etv5|Average	SRX3775849|Alveolar_type_II_cells	SRX4988100|Embryonic_Stem_Cells	SRX4988101|Embryonic_Stem_Cells	SRX4988102|Embryonic_Stem_Cells	SRX4988103|Embryonic_Stem_Cells	SRX4988104|Embryonic_Stem_Cells	SRX4988105|Embryonic_Stem_Cells	STRING
Pip5k1c	447.571429	3133	0	0	0	0	0	0	0
Bcl6	430.428571	3013	0	0	0	0	0	0	0
Ptcd2	417.857143	2925	0	0	0	0	0	0	0
Mrps27	417.857143	2925	0	0	0	0	0	0	0
Fus	406.428571	2845	0	0	0	0	0	0	0
Psip1	406.000000	2842	0	0	0	0	0	0	0
Dohh	396.857143	2778	0	0	0	0	0	0	0
Tut7	392.428571	2747	0	0	0	0	0	0	0
Abhd16a	390.428571	2733	0	0	0	0	0	0	0
Wasl	389.142857	2724	0	0	0	0	0	0	0
Mob2	387.571429	2713	0	0	0	0	0	0	0
Hdac2	385.428571	2698	0	0	0	0	0	0	0
Atrnl1	384.571429	2692	0	0	0	0	0	0	0
Noct	384.428571	2691	0	0	0	0	0	0	0
Psmd12	376.142857	2633	0	0	0	0	0	0	0
Smc3	374.000000	2618	0	0	0	0	0	0	0
Oxr1	372.571429	2608	0	0	0	0	0	0	0
Bzw1	371.285714	2599	0	0	0	0	0	0	0
Ppm1l	370.428571	2593	0	0	0	0	0	0	0
Mia2	369.000000	2583	0	0	0	0	0	0	0
Map7d1	363.285714	2543	0	0	0	0	0	0	0
Gm3448	362.285714	2457	0	0	0	79	0	0	0
Gm3417	362.285714	2457	0	0	0	79	0	0	0
9030025P20Rik	362.285714	2457	0	0	0	79	0	0	0
Tcte3	358.142857	2437	0	0	0	70	0	0	0
Gm3435	358.142857	2437	0	0	0	70	0	0	0
Abtb1	358.142857	2507	0	0	0	0	0	0	0
Ss18	357.571429	2503	0	0	0	0	0	0	0
Cadm2	355.714286	2490	0	0	0	0	0	0	0
Cmc2	348.857143	2442	0	0	0	0	0	0	0
Cenpn	348.857143	2442	0	0	0	0	0	0	0
Wdr78	348.571429	2440	0	0	0	0	0	0	0
Mier1	348.571429	2440	0	0	0	0	0	0	0
Per2	344.714286	2413	0	0	0	0	0	0	0
Ube2b	343.285714	2403	0	0	0	0	0	0	0
Ptdss1	342.714286	2399	0	0	0	0	0	0	0
Mterf3	342.714286	2399	0	0	0	0	0	0	0
Smg7	338.000000	2366	0	0	0	0	0	0	0
Lrpprc	338.000000	2366	0	0	0	0	0	0	0
Fkbp3	332.285714	2326	0	0	0	0	0	0	0
Ermard	332.142857	2325	0	0	0	0	0	0	0
Exoc5	330.714286	2315	0	0	0	0	0	0	0
Ap5m1	330.714286	2315	0	0	0	0	0	0	0
Slbp	328.571429	2300	0	0	0	0	0	0	0
Raly	324.571429	2272	0	0	0	0	0	0	0
Dut	323.428571	2264	0	0	0	0	0	0	0
Myl12a	323.285714	2263	0	0	0	0	0	0	0
Cpsf2	323.000000	2261	0	0	0	0	0	0	0
Prpf40a	321.571429	2251	0	0	0	0	0	0	0
Arl6ip6	321.571429	2251	0	0	0	0	0	0	0
Atg101	320.571429	2244	0	0	0	0	0	0	0
Ube2n	318.428571	2229	0	0	0	0	0	0	0
Tnrc6a	315.857143	2211	0	0	0	0	0	0	0
Rmnd1	314.285714	2200	0	0	0	0	0	0	0
Armt1	314.285714	2200	0	0	0	0	0	0	0
Hspe1	313.000000	2191	0	0	0	0	0	0	0
Hspd1	313.000000	2191	0	0	0	0	0	0	0
Sftpb	309.142857	2164	0	0	0	0	0	0	0
Ankrd13a	309.000000	2163	0	0	0	0	0	0	0
Rhbdd3	307.857143	2155	0	0	0	0	0	0	0
Ewsr1	307.857143	2155	0	0	0	0	0	0	0
Ndst2	302.714286	2119	0	0	0	0	0	0	0
Tex10	302.142857	2115	0	0	0	0	0	0	0
Cnot6	300.714286	2105	0	0	0	0	0	0	0
Zfp219	299.571429	2097	0	0	0	0	0	0	0
Tmem260	299.142857	2094	0	0	0	0	0	0	0
Ctdp1	296.857143	2078	0	0	0	0	0	0	0
Akt2	295.571429	2069	0	0	0	0	0	0	0
Shprh	292.571429	2048	0	0	0	0	0	0	0
Ubr2	292.142857	2045	0	0	0	0	0	0	0
Spty2d1	291.714286	2042	0	0	0	0	0	0	0
Tardbp	290.428571	2033	0	0	0	0	0	0	0
Ccdc85c	290.428571	2033	0	0	0	0	0	0	0
Pik3r3	290.000000	2030	0	0	0	0	0	0	0
Polg	289.857143	2029	0	0	0	0	0	0	0
Atg12	288.285714	2018	0	0	0	0	0	0	0
Ap3s1	288.285714	2018	0	0	0	0	0	0	0
Kdm5a	283.714286	1986	0	0	0	0	0	0	0
Tomt	282.000000	1974	0	0	0	0	0	0	0
Lamtor1	282.000000	1974	0	0	0	0	0	0	0
Tigd5	281.857143	1973	0	0	0	0	0	0	0
Eef1d	281.857143	1973	0	0	0	0	0	0	0
Sash1	281.142857	1968	0	0	0	0	0	0	0
Hmgxb3	281.000000	1967	0	0	0	0	0	0	0
Taf15	280.000000	1960	0	0	0	0	0	0	0
Btaf1	279.285714	1955	0	0	0	0	0	0	0
Septin11	279.000000	1953	0	0	0	0	0	0	0
Arih2	278.000000	1946	0	0	0	0	0	0	0
Tada3	276.714286	1937	0	0	0	0	0	0	0
Arpc4	276.714286	1937	0	0	0	0	0	0	0
Hjurp	276.571429	1936	0	0	0	0	0	0	0
A730008H23Rik	276.571429	1936	0	0	0	0	0	0	0
Iqch	275.714286	1930	0	0	0	0	0	0	0
Aagab	275.714286	1930	0	0	0	0	0	0	0
Cd164	275.285714	1927	0	0	0	0	0	0	0
Uchl3	274.142857	1919	0	0	0	0	0	0	0
Zfp384	271.857143	1903	0	0	0	0	0	0	0
Ublcp1	271.428571	1900	0	0	0	0	0	0	0
Ago3	269.000000	1883	0	0	0	0	0	0	0
Uros	267.571429	1873	0	0	0	0	0	0	0
Bccip	267.571429	1873	0	0	0	0	0	0	0
Cltc	266.571429	1866	0	0	0	0	0	0	0
Myl12b	264.714286	1853	0	0	0	0	0	0	0
Frat1	264.714286	1853	0	0	0	0	0	0	0
Prkci	262.285714	1836	0	0	0	0	0	0	0
Galnt10	262.285714	1836	0	0	0	0	0	0	0
Phrf1	261.000000	1827	0	0	0	0	0	0	0
Lonp2	260.714286	1825	0	0	0	0	0	0	0
Cdipt	259.857143	1819	0	0	0	0	0	0	0
Fam104a	259.714286	1818	0	0	0	0	0	0	0
D11Wsu47e	259.714286	1818	0	0	0	0	0	0	0
Abhd18	258.571429	1810	0	0	0	0	0	0	0
Mff	257.857143	1805	0	0	0	0	0	0	0
Ap1s2	257.857143	1805	0	0	0	0	0	0	0
Abi2	257.857143	1805	0	0	0	0	0	0	0
Fchsd2	256.714286	1797	0	0	0	0	0	0	0
Commd5	255.714286	1790	0	0	0	0	0	0	0
Atxn2l	255.142857	1786	0	0	0	0	0	0	0
Asah1	254.857143	1784	0	0	0	0	0	0	0
Arih1	253.428571	1774	0	0	0	0	0	0	0
Rpn2	252.285714	1766	0	0	0	0	0	0	0
Mroh8	252.285714	1766	0	0	0	0	0	0	0
Ubr4	252.000000	1764	0	0	0	0	0	0	0
Tsnax	249.142857	1744	0	0	0	0	0	0	0
Nol8	248.142857	1737	0	0	0	0	0	0	0
Cenpp	248.142857	1737	0	0	0	0	0	0	0
Pnrc1	247.285714	1731	0	0	0	0	0	0	0
Mfsd8	247.000000	1729	0	0	0	0	0	0	0
Tcp11l2	246.571429	1726	0	0	0	0	0	0	0
Pih1d2	245.857143	1721	0	0	0	0	0	0	0
Nkapd1	245.857143	1721	0	0	0	0	0	0	0
Mcl1	245.571429	1719	0	0	0	0	0	0	0
Prdm10	245.000000	1715	0	0	0	0	0	0	0
Prkdc	243.571429	1705	0	0	0	0	0	0	0
Mcm4	243.571429	1705	0	0	0	0	0	0	0
Lsr	243.285714	1703	0	0	0	0	0	0	0
Fam187b	243.285714	1703	0	0	0	0	0	0	0
Atf4	241.714286	1692	0	0	0	0	0	0	0
Arfip1	240.285714	1682	0	0	0	0	0	0	0
Tpp2	240.000000	1680	0	0	0	0	0	0	0
Srxn1	240.000000	1680	0	0	0	0	0	0	0
Tmem198	239.714286	1678	0	0	0	0	0	0	0
Chpf	239.714286	1678	0	0	0	0	0	0	0
Tbck	238.857143	1672	0	0	0	0	0	0	0
Aimp1	238.857143	1672	0	0	0	0	0	0	0
Setx	237.285714	1661	0	0	0	0	0	0	0
Nfat5	237.285714	1661	0	0	0	0	0	0	0
Tpm1	236.857143	1658	0	0	0	0	0	0	0
Mettl25	236.428571	1655	0	0	0	0	0	0	0
Ccdc59	236.428571	1655	0	0	0	0	0	0	0
Tst	235.857143	1651	0	0	0	0	0	0	0
Mpst	235.857143	1651	0	0	0	0	0	0	0
