Target_genes	Foxo1|Average	SRX272969|CD4-Positive_T-Lymphocytes	SRX682273|CD4-Positive_T-Lymphocytes	SRX682274|CD4-Positive_T-Lymphocytes	SRX682276|CD4-Positive_T-Lymphocytes	SRX278097|CD8-Positive_T-Lymphocytes	SRX1117087|HAFTL	SRX7586623|Heart	SRX7586624|Heart	SRX7586625|Heart	SRX021879|Pro-B_cells	SRX2136458|Pro-B_cells	SRX183787|Treg	SRX183788|Treg	SRX1219538|Uterus	STRING
Fyco1	719.428571	161	366	0	0	0	0	2751	2851	2484	0	0	118	0	1341	0
Otud1	607.785714	660	1628	482	0	1162	0	693	691	631	346	0	1431	215	570	0
Crebl2	592.000000	422	999	252	0	659	0	1776	1465	1278	0	0	749	130	558	0
Pnrc1	563.000000	945	1181	759	0	1024	0	861	573	506	153	0	1282	327	271	0
Txnip	558.285714	698	1504	372	0	980	0	1074	763	670	128	0	826	185	616	0
Ythdc1	488.785714	645	1597	348	0	961	0	491	417	424	292	0	1355	105	208	0
Max	434.428571	392	922	0	0	297	0	1451	1228	705	113	0	421	0	553	0
Hbp1	412.285714	517	867	125	0	403	0	900	1029	696	217	0	410	0	608	0
Junb	407.785714	742	1285	523	0	776	0	329	363	458	136	0	881	216	0	0
Gpr19	393.214286	754	1152	131	0	651	0	407	330	305	248	0	1133	178	216	0
Ccni	386.357143	242	679	194	0	535	0	934	703	858	0	0	413	193	658	0
2010109A12Rik	386.357143	242	679	194	0	535	0	934	703	858	0	0	413	193	658	0
Pxk	380.928571	415	1584	828	0	966	0	0	0	0	152	0	1038	350	0	0
Sidt2	356.285714	537	1298	151	0	949	0	155	274	287	0	0	1213	124	0	0
Cnnm3	356.142857	629	807	199	0	667	0	642	521	152	0	0	1018	182	169	0
Il16	347.500000	667	875	279	0	539	0	420	622	432	159	0	529	135	208	0
Tbc1d17	333.142857	373	1355	0	0	634	0	450	484	337	106	0	649	0	276	0
Akt1s1	333.142857	373	1355	0	0	634	0	450	484	337	106	0	649	0	276	0
Phlpp1	330.642857	409	567	0	0	296	0	962	1002	675	0	0	563	0	155	0
Pcmtd2	328.714286	327	1123	109	0	1029	0	434	292	162	179	0	801	0	146	0
Zfp607b	327.428571	201	320	0	0	155	0	1305	1312	652	0	0	162	0	477	0
Pot1a	323.214286	564	1082	143	0	322	0	413	616	465	0	0	580	84	256	0
Frg1	317.928571	372	867	162	0	468	0	676	627	418	142	0	330	140	249	0
Kiz	314.071429	434	1146	270	0	636	0	197	152	171	120	0	803	150	318	0
Tpp2	312.285714	491	892	0	0	439	0	713	623	455	0	0	422	0	337	0
Fam168a	311.071429	0	0	0	0	0	0	1492	1526	950	0	0	0	0	387	0
Sharpin	307.000000	0	224	0	0	177	0	1215	1163	790	0	0	169	0	560	0
Maf1	307.000000	0	224	0	0	177	0	1215	1163	790	0	0	169	0	560	0
Ehmt1	306.571429	0	1377	0	0	1438	0	0	0	0	0	0	1477	0	0	0
Stk11	305.928571	515	1061	171	0	560	0	307	212	229	191	0	747	103	187	0
Pnkd	304.285714	0	205	0	0	0	0	1632	1194	937	0	0	0	0	292	0
Aamp	304.285714	0	205	0	0	0	0	1632	1194	937	0	0	0	0	292	0
Ube2b	302.857143	406	908	169	0	342	0	463	570	397	0	0	608	143	234	0
Nsmce4a	302.214286	362	961	134	0	710	0	276	245	283	190	0	692	93	285	0
Ccpg1os	301.214286	140	232	0	0	122	0	1198	984	906	0	0	149	0	486	0
Ccpg1	301.214286	140	232	0	0	122	0	1198	984	906	0	0	149	0	486	0
Nr1d2	300.071429	283	899	174	0	514	0	569	362	294	0	0	654	86	366	0
Nop14	298.785714	213	299	0	0	0	0	1261	1216	610	0	0	134	0	450	0
Grk4	298.785714	213	299	0	0	0	0	1261	1216	610	0	0	134	0	450	0
Map3k10	289.285714	0	165	0	0	0	0	1305	1312	652	0	0	139	0	477	0
Tmem258	288.428571	0	202	0	0	0	0	1490	1170	643	0	0	0	0	533	0
Fen1	288.428571	0	202	0	0	0	0	1490	1170	643	0	0	0	0	533	0
Aak1	287.500000	0	0	0	0	0	0	1522	1168	833	0	0	0	0	502	0
Gid4	286.714286	0	143	0	0	0	0	1438	1178	961	0	0	0	0	294	0
Asmt	286.357143	293	411	315	0	234	343	141	295	391	223	317	217	262	567	0
Ypel3	276.000000	423	735	299	0	416	0	462	422	0	165	0	473	160	309	0
Tmem115	275.214286	0	0	0	0	0	0	1362	1569	535	0	0	0	0	387	0
Prcc	274.428571	144	113	0	0	0	0	1192	1159	717	0	0	0	0	517	0
9430015G10Rik	273.071429	0	0	0	0	0	0	1221	1423	802	0	0	0	0	377	0
Rmnd5a	272.928571	334	852	0	0	451	0	679	395	405	0	0	492	0	213	0
Plaa	272.214286	0	121	0	0	0	0	1245	977	1013	0	0	0	0	455	0
Tmem203	265.928571	276	842	346	0	374	0	300	315	340	228	0	399	127	176	0
Ndor1	265.928571	276	842	346	0	374	0	300	315	340	228	0	399	127	176	0
Calcoco1	264.071429	0	0	0	0	0	0	1400	1198	849	0	0	0	0	250	0
Dhx40	261.571429	219	1180	203	0	610	0	286	225	150	0	0	525	0	264	0
Cbll1	260.714286	255	476	0	0	329	0	789	533	611	0	0	342	0	315	0
Jmy	259.857143	238	1316	398	0	707	0	0	0	0	0	0	879	100	0	0
Ddx17	259.000000	0	215	0	0	80	0	1075	1087	774	0	0	138	0	257	0
Btrc	258.571429	0	0	0	0	0	0	981	1271	1032	0	0	0	0	336	0
Tfap4	258.357143	304	602	415	0	249	0	403	548	289	0	0	462	0	345	0
Etv5	256.571429	109	753	86	0	291	0	526	520	407	166	0	430	0	304	0
Nup153	256.142857	0	0	0	0	0	0	1286	1221	762	0	0	0	0	317	0
Desi2	255.285714	0	0	0	0	0	0	1333	1044	777	0	0	0	0	420	0
Stag2	252.214286	178	900	109	0	672	0	302	184	56	0	0	892	140	98	0
Rpgrip1l	251.785714	0	0	0	0	0	0	1384	1038	802	0	0	0	0	301	0
Fto	251.785714	0	0	0	0	0	0	1384	1038	802	0	0	0	0	301	0
Naa38	246.500000	0	0	0	0	0	0	1227	1038	818	0	0	0	0	368	0
Cyb5d1	246.500000	0	0	0	0	0	0	1227	1038	818	0	0	0	0	368	0
Ap2m1	245.071429	0	0	0	0	0	0	1227	1132	703	0	0	0	0	369	0
Sugp2	244.785714	0	1126	0	0	971	0	89	0	104	0	0	1137	0	0	0
Armc6	244.785714	0	1126	0	0	971	0	89	0	104	0	0	1137	0	0	0
1110004F10Rik	244.785714	0	0	0	0	0	0	1161	1099	827	0	0	0	0	340	0
Sympk	244.500000	0	0	0	0	0	0	1606	734	804	0	0	0	0	279	0
Foxa3	244.500000	0	0	0	0	0	0	1606	734	804	0	0	0	0	279	0
Zfp949	242.142857	493	1078	0	0	322	0	207	111	203	178	0	483	0	315	0
Timm22	241.428571	0	0	0	0	0	0	1117	1345	445	0	0	0	0	473	0
Zfp874b	239.928571	341	731	0	0	269	0	506	581	250	142	0	243	0	296	0
Srsf2	239.714286	0	102	0	0	0	0	1005	981	920	0	0	154	0	194	0
Mfsd11	239.714286	0	102	0	0	0	0	1005	981	920	0	0	154	0	194	0
Zcchc8	238.071429	0	0	0	0	0	0	988	1443	666	0	0	0	0	236	0
Pi4k2a	237.785714	263	876	83	0	291	0	228	265	327	176	0	624	0	196	0
Ncln	235.357143	0	0	0	0	0	0	1299	952	792	0	0	0	0	252	0
Psma2	232.857143	0	876	0	0	684	0	328	389	228	0	0	604	0	151	0
Mrpl32	232.857143	0	876	0	0	684	0	328	389	228	0	0	604	0	151	0
Mrpl34	232.500000	0	0	0	0	0	0	1113	1256	573	0	0	0	0	313	0
Abhd8	232.500000	0	0	0	0	0	0	1113	1256	573	0	0	0	0	313	0
Nuf2	230.571429	283	753	165	0	261	0	303	431	291	0	0	422	0	319	0
Zer1	230.428571	231	539	158	0	432	0	528	369	411	0	0	395	0	163	0
Usp5	229.357143	0	0	0	0	0	0	1210	889	725	0	0	0	0	387	0
Cdca3	229.357143	0	0	0	0	0	0	1210	889	725	0	0	0	0	387	0
Ints9	228.357143	0	160	0	0	0	0	927	1106	501	0	0	152	0	351	0
Hmbox1	228.357143	0	160	0	0	0	0	927	1106	501	0	0	152	0	351	0
Otud4	227.857143	0	178	0	0	0	0	1025	859	795	0	0	0	0	333	0
M6pr	227.000000	0	0	0	0	0	0	1127	1135	599	0	0	0	0	317	0
Hibadh	227.000000	479	800	178	0	462	0	112	272	163	0	0	498	0	214	0
Smpd3	226.071429	0	0	0	0	0	0	1117	946	592	0	0	0	0	510	0
Mynn	226.071429	0	0	0	0	0	0	1075	1057	743	0	0	0	0	290	0
Nfat5	225.071429	0	612	513	0	327	0	546	144	136	0	0	521	174	178	0
Banp	224.857143	0	154	91	0	0	0	767	847	623	0	0	152	0	514	0
Katnal1	224.428571	0	90	0	0	0	0	1234	870	595	0	0	0	0	353	0
Slc39a10	222.571429	394	482	151	0	303	0	598	343	393	0	0	309	0	143	0
Txnl4a	220.357143	0	1070	0	0	839	0	118	0	0	0	0	1058	0	0	0
Lcorl	220.357143	0	0	0	0	0	0	1020	1099	740	0	0	0	0	226	0
Smarcal1	220.142857	0	0	0	0	0	0	1107	1032	665	0	0	0	0	278	0
Sspn	220.000000	0	535	344	0	848	0	330	271	183	0	0	437	0	132	0
Adipor2	220.000000	164	419	0	0	334	0	560	482	601	0	0	264	0	256	0
Nudcd1	218.857143	0	0	0	0	0	0	1057	1088	677	0	0	0	0	242	0
Eny2	218.857143	0	0	0	0	0	0	1057	1088	677	0	0	0	0	242	0
Polr2a	218.571429	291	485	128	0	0	0	383	631	464	0	0	342	118	218	0
Tcf4	217.857143	157	391	143	0	381	0	505	400	343	0	0	338	162	230	0
Stk25	214.785714	0	0	0	0	0	0	1113	941	586	0	0	0	0	367	0
Coq8a	214.785714	190	750	125	0	485	0	105	109	182	0	0	781	89	191	0
Tial1	214.285714	0	0	0	0	0	0	1022	843	814	0	0	0	0	321	0
Tmem140	214.142857	417	859	139	0	440	0	197	316	223	0	0	206	0	201	0
Ubl7	214.000000	468	873	82	0	467	0	131	217	184	0	0	485	0	89	0
Ccne2	213.571429	163	940	187	0	697	0	145	0	0	0	0	735	0	123	0
Tor1aip2	212.785714	126	606	0	0	162	0	397	487	364	139	0	277	0	421	0
Tor1aip1	212.785714	126	606	0	0	162	0	397	487	364	139	0	277	0	421	0
Abcb8	212.642857	0	0	0	0	0	0	1031	988	680	0	0	0	0	278	0
Map3k6	211.571429	0	0	0	0	0	0	1177	836	735	0	0	0	0	214	0
Wbp2	211.142857	0	130	0	0	0	0	943	933	767	0	0	0	0	183	0
Slc12a6	210.857143	0	1117	163	0	654	0	165	0	0	0	0	596	133	124	0
Polr3b	210.642857	276	696	0	0	234	0	491	455	347	0	0	144	0	306	0
Nbr1	209.214286	0	0	0	0	0	0	924	682	733	0	0	0	0	590	0
Brca1	209.214286	0	0	0	0	0	0	924	682	733	0	0	0	0	590	0
Ing3	208.285714	0	127	0	0	143	0	935	751	614	0	0	182	0	164	0
Cep128	207.928571	0	0	0	0	0	0	1129	992	572	0	0	0	0	218	0
Ubald1	206.000000	202	715	162	0	412	0	288	255	164	0	0	553	0	133	0
Ralbp1	204.357143	0	200	0	0	0	0	1090	651	500	0	0	202	0	218	0
Fbxl3	203.357143	197	776	176	0	309	0	349	362	216	0	0	462	0	0	0
Hjurp	203.071429	227	232	0	0	208	0	630	483	469	0	0	198	0	396	0
A730008H23Rik	203.071429	227	232	0	0	208	0	630	483	469	0	0	198	0	396	0
Pa2g4	202.928571	0	0	0	0	0	0	906	1028	727	0	0	0	0	180	0
Lars	202.857143	0	0	0	0	0	0	922	941	572	0	0	0	0	405	0
Mrpl17	202.428571	307	727	0	0	344	0	390	396	302	0	0	270	98	0	0
Phf12	200.214286	0	494	0	0	244	0	525	656	258	0	0	458	0	168	0
Btg1	198.285714	83	457	136	0	221	0	407	486	510	0	0	244	0	232	0
Tmem43	198.142857	0	0	0	0	0	0	819	1063	592	0	0	0	0	300	0
Chchd4	198.142857	0	0	0	0	0	0	819	1063	592	0	0	0	0	300	0
Qtrt2	198.071429	0	0	0	0	0	0	926	970	507	0	0	0	0	370	0
Ccdc191	198.071429	0	0	0	0	0	0	926	970	507	0	0	0	0	370	0
Septin7	197.642857	179	571	0	0	184	0	461	416	447	0	0	269	0	240	0
Trim23	197.285714	328	522	150	0	287	0	403	370	199	0	0	264	0	239	0
Trappc13	197.285714	328	522	150	0	287	0	403	370	199	0	0	264	0	239	0
Shld3	197.285714	328	522	150	0	287	0	403	370	199	0	0	264	0	239	0
Serinc1	196.928571	397	822	96	0	320	0	159	156	331	0	0	338	0	138	0
Usp48	196.500000	0	0	0	0	0	0	973	896	582	0	0	0	0	300	0
Hexim2	196.214286	212	174	0	0	0	0	784	799	610	0	0	0	0	168	0
Pcm1	195.571429	0	0	0	0	0	0	803	1044	680	0	0	0	0	211	0
Rsbn1	194.928571	0	94	0	0	0	0	701	997	594	0	0	0	0	343	0
Dcaf11	194.857143	200	487	0	0	213	0	512	394	397	0	0	344	0	181	0
Ormdl3	194.714286	0	0	0	0	0	0	1015	799	641	0	0	0	0	271	0
Insr	194.500000	136	916	188	0	467	0	136	145	144	0	0	361	98	132	0
1700008O03Rik	194.071429	0	0	0	0	0	0	991	1022	476	0	0	0	0	228	0
Auh	193.857143	216	923	135	0	488	0	167	0	0	0	0	550	99	136	0
Pemt	193.428571	0	0	0	0	0	0	934	823	637	0	0	0	0	314	0
Ltb	192.571429	694	715	192	0	508	0	0	0	0	0	0	587	0	0	0
Sirt2	192.357143	0	0	0	0	0	0	958	947	665	0	0	0	0	123	0
Nfkbib	192.357143	0	0	0	0	0	0	958	947	665	0	0	0	0	123	0
Cwc22	192.285714	0	0	0	0	0	0	737	1126	393	0	0	0	0	436	0
Maml3	191.642857	235	508	237	0	422	0	156	140	216	140	0	384	86	159	0
Thyn1	191.571429	0	0	0	0	0	0	984	848	623	0	0	0	0	227	0
Acad8	191.571429	0	0	0	0	0	0	984	848	623	0	0	0	0	227	0
Tcp11l2	190.214286	489	545	0	0	362	0	204	233	182	0	0	232	0	416	0
Nadk	189.285714	0	904	0	0	772	0	0	0	0	0	0	974	0	0	0
Sec11c	188.857143	0	0	0	0	0	0	882	905	696	0	0	0	0	161	0
Aplf	188.857143	0	0	0	0	0	0	880	981	513	0	0	0	0	270	0
Ap5s1	188.285714	0	0	0	0	0	0	1045	695	621	0	0	0	0	275	0
Txnl4b	187.928571	204	392	0	0	155	0	458	690	257	0	0	196	0	279	0
Dhx38	187.928571	204	392	0	0	155	0	458	690	257	0	0	196	0	279	0
Rnf38	187.142857	189	973	241	0	615	0	0	0	0	0	0	602	0	0	0
Clec16a	187.142857	0	0	0	0	0	0	1033	826	580	0	0	0	0	181	0
Lrrc51	186.571429	245	231	0	0	185	0	569	725	351	0	0	134	0	172	0
Nfxl1	186.214286	0	0	0	0	0	0	860	839	693	0	0	0	0	215	0
Tsc1	185.857143	305	600	140	0	324	0	274	236	183	0	0	540	0	0	0
Abcf2	185.571429	0	0	0	0	0	0	711	806	806	0	0	0	0	275	0
Zc3h13	185.142857	363	621	68	0	320	0	208	251	192	0	0	331	0	238	0
Zfyve1	185.000000	0	0	0	0	0	0	869	913	497	0	0	0	0	311	0
