Target_genes	Stat3|Average	SRX361677|Astrocytes	SRX2182965|AtT-20	SRX2463208|AtT-20	SRX2463209|AtT-20	SRX015582|CD4-Positive_T-Lymphocytes	SRX015583|CD4-Positive_T-Lymphocytes	SRX015584|CD4-Positive_T-Lymphocytes	SRX015585|CD4-Positive_T-Lymphocytes	SRX015586|CD4-Positive_T-Lymphocytes	SRX015587|CD4-Positive_T-Lymphocytes	SRX015588|CD4-Positive_T-Lymphocytes	SRX015589|CD4-Positive_T-Lymphocytes	SRX015590|CD4-Positive_T-Lymphocytes	SRX015591|CD4-Positive_T-Lymphocytes	SRX015592|CD4-Positive_T-Lymphocytes	SRX015593|CD4-Positive_T-Lymphocytes	SRX015594|CD4-Positive_T-Lymphocytes	SRX015605|CD4-Positive_T-Lymphocytes	SRX015606|CD4-Positive_T-Lymphocytes	SRX015607|CD4-Positive_T-Lymphocytes	SRX015608|CD4-Positive_T-Lymphocytes	SRX015609|CD4-Positive_T-Lymphocytes	SRX028629|CD4-Positive_T-Lymphocytes	SRX3067399|CD4-Positive_T-Lymphocytes	SRX3067400|CD4-Positive_T-Lymphocytes	SRX708755|CD4-Positive_T-Lymphocytes	SRX708756|CD4-Positive_T-Lymphocytes	SRX758042|CD4-Positive_T-Lymphocytes	SRX758043|CD4-Positive_T-Lymphocytes	SRX758044|CD4-Positive_T-Lymphocytes	SRX758045|CD4-Positive_T-Lymphocytes	SRX865022|CD4-Positive_T-Lymphocytes	SRX865024|CD4-Positive_T-Lymphocytes	SRX2885380|Cortical_oligodendrocyte_progenitor	SRX2885381|Cortical_oligodendrocyte_progenitor	SRX041328|Dendritic_Cells	SRX041329|Dendritic_Cells	SRX041330|Dendritic_Cells	SRX122475|Dendritic_Cells	SRX122476|Dendritic_Cells	SRX122477|Dendritic_Cells	SRX122478|Dendritic_Cells	SRX1365212|Dendritic_Cells	SRX1365213|Dendritic_Cells	SRX708765|Dendritic_Cells	SRX708766|Dendritic_Cells	SRX2974917|EML_	SRX315094|Gastric_tumor	SRX315095|Gastric_tumor	SRX315096|Gastric_tumor	SRX315100|Gastric_tumor	SRX315101|Gastric_tumor	SRX315102|Gastric_tumor	ERX1167971|HPC-7	SRX4169598|Kidney	SRX4169599|Kidney	SRX4169612|Kidney	SRX4169613|Kidney	SRX7502314|Kidney	SRX7502315|Kidney	SRX7502326|Kidney	SRX7502327|Kidney	SRX092402|Macrophages	SRX092403|Macrophages	SRX2060970|Macrophages	SRX2060971|Macrophages	SRX2060972|Macrophages	SRX2060973|Macrophages	SRX2060974|Macrophages	SRX2088123|Mammary_glands	SRX2088124|Mammary_glands	SRX2088125|Mammary_glands	SRX2088126|Mammary_glands	SRX2088127|Mammary_glands	SRX187262|Th0	SRX020337|Th17_Cells	SRX187263|Th17_Cells	SRX187264|Th17_Cells	SRX187265|Th17_Cells	SRX187266|Th17_Cells	SRX187267|Th17_Cells	SRX187268|Th17_Cells	SRX187269|Th17_Cells	SRX187270|Th17_Cells	SRX187271|Th17_Cells	SRX037909|Th1_Cells	STRING
Stat3	992.453488	665	3185	3212	3411	0	0	0	0	0	0	1411	1541	1485	749	1345	273	352	0	0	159	0	0	1183	352	3048	0	2968	0	2980	808	2824	2498	2660	2646	2763	98	1974	1704	74	789	0	0	0	0	100	1959	0	0	0	0	0	0	0	1596	0	0	369	955	801	306	2342	1096	0	298	0	908	0	1137	0	571	1353	1608	1646	1462	459	2034	1640	2022	2042	2178	0	2122	2196	1420	2102	1472	0
Sbno2	618.441860	0	694	848	465	0	0	0	0	0	0	1290	1348	1042	389	1028	252	232	0	0	0	0	0	649	0	2799	0	2338	0	2352	114	2096	2466	2529	1828	1235	0	1652	1024	0	0	0	0	0	0	0	1661	0	0	0	0	0	0	0	402	0	0	0	0	85	0	334	0	0	0	0	937	0	519	0	0	767	600	950	920	0	1471	1403	1692	1708	2010	0	2113	2125	1430	1860	1529	0
Skap2	557.000000	0	3088	2924	2754	0	0	0	0	0	0	441	554	440	0	626	189	186	0	0	0	59	0	812	0	1567	0	1606	0	1608	155	1116	2384	2530	2325	1410	0	657	488	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	1317	0	0	0	0	0	0	131	0	0	0	0	418	0	247	0	308	257	145	542	613	0	1759	1125	1110	1311	1888	0	1944	1766	1394	1245	1803	0
Rpl22	546.593023	264	3181	2885	2565	0	0	0	0	0	0	295	175	156	0	201	64	111	0	0	0	0	0	732	0	1477	0	1346	0	1335	176	1215	2075	2534	2890	2415	0	793	631	0	297	0	0	0	0	0	794	0	0	0	0	0	0	0	1119	0	0	0	159	148	0	233	0	0	0	0	350	0	265	0	209	323	158	246	353	0	1643	1124	1341	1089	1591	0	1920	1726	1024	1472	1907	0
Jak3	497.918605	0	2948	2606	2163	0	0	0	0	0	0	215	256	256	0	274	141	113	0	0	0	0	0	283	193	2270	0	1761	0	1770	244	1258	2272	2376	1125	380	0	246	193	0	216	0	0	0	0	0	241	0	0	0	0	0	0	0	1696	0	0	0	0	0	0	562	205	0	0	0	229	0	252	0	0	586	282	786	568	0	919	1090	1268	895	1112	0	2013	1986	1426	1581	1565	0
Psmd3	494.000000	187	2707	2793	2380	0	0	0	0	0	0	487	434	352	158	410	142	0	0	0	0	0	0	375	0	1716	0	898	0	898	0	766	1277	2025	2741	2053	0	737	370	0	0	0	0	0	0	0	732	0	0	0	0	0	0	0	762	0	0	0	187	0	0	231	0	0	0	0	348	0	192	0	0	284	293	477	466	0	1479	1125	1158	1194	1826	0	1795	1825	1004	1389	1811	0
Vps28	491.011628	0	3103	3128	2987	0	0	0	0	0	0	0	172	161	0	234	94	91	0	0	0	0	0	298	0	1002	0	657	0	656	0	565	2135	2169	2637	1694	0	392	185	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	1512	0	0	0	175	102	0	322	0	0	0	0	255	0	209	0	0	196	303	294	160	0	755	1138	1090	1475	1922	0	2332	2194	1522	1516	1996	0
Pih1d1	468.837209	0	3021	3111	2379	0	0	0	0	0	0	359	360	361	0	212	104	0	0	0	0	0	0	198	0	2007	0	1219	0	1244	0	1106	2204	2425	2472	1704	0	0	170	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	1196	0	0	0	101	152	0	342	145	0	0	0	333	0	129	0	189	415	470	440	400	0	470	762	965	841	1045	0	1611	1570	821	1192	1935	0
Aldh16a1	468.837209	0	3021	3111	2379	0	0	0	0	0	0	359	360	361	0	212	104	0	0	0	0	0	0	198	0	2007	0	1219	0	1244	0	1106	2204	2425	2472	1704	0	0	170	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	1196	0	0	0	101	152	0	342	145	0	0	0	333	0	129	0	189	415	470	440	400	0	470	762	965	841	1045	0	1611	1570	821	1192	1935	0
Gtf2a2	466.639535	149	3153	2935	2593	0	0	0	0	0	0	263	244	195	0	359	175	106	0	0	0	0	0	0	0	1137	0	763	0	755	155	635	1487	1995	2700	1834	0	201	168	0	127	0	0	0	0	0	202	0	0	0	0	0	0	0	1681	0	0	0	127	87	0	444	110	0	0	0	261	0	185	0	180	677	451	1048	609	0	1095	836	1014	819	1421	0	1387	1265	1010	1077	2016	0
