Target_genes	Stat5b|Average	SRX3067395|CD4-Positive_T-Lymphocytes	SRX3067396|CD4-Positive_T-Lymphocytes	SRX3067405|CD4-Positive_T-Lymphocytes	SRX3067406|CD4-Positive_T-Lymphocytes	SRX3067407|CD4-Positive_T-Lymphocytes	SRX3067408|CD4-Positive_T-Lymphocytes	SRX3067401|CD8-Positive_T-Lymphocytes	SRX3067402|CD8-Positive_T-Lymphocytes	SRX041331|Dendritic_Cells	SRX041332|Dendritic_Cells	SRX041333|Dendritic_Cells	SRX187509|Mammary_cells	SRX187514|Mammary_cells	SRX3006598|Spleen	SRX3006599|Spleen	SRX3006600|Spleen	SRX3006601|Spleen	SRX041284|T-Lymphocytes	SRX041285|T-Lymphocytes	SRX132013|T-Lymphocytes	SRX132016|T-Lymphocytes	SRX132019|T-Lymphocytes	SRX132022|T-Lymphocytes	SRX041281|Th1_Cells	SRX191131|Th9	SRX353400|Th9	SRX353401|Th9	SRX353404|Th9	SRX353405|Th9	STRING
Cish	1036.724138	0	2030	1493	2326	1319	2417	0	707	0	1453	1632	1254	864	0	1941	0	1544	0	0	160	764	162	621	2228	2189	0	568	2621	1772	0
Socs2	923.000000	0	1823	2305	2629	2247	2990	0	964	0	1601	1455	509	537	0	1498	0	427	0	0	0	1187	0	362	1866	2306	0	284	1193	584	0
Lta	898.413793	0	2677	1955	2550	1825	2779	0	1269	0	1362	1281	0	0	0	180	0	0	0	0	0	1773	0	291	2110	1515	0	527	2722	1238	0
Eif5a	894.724138	0	1729	2159	1881	2227	927	0	376	0	2203	2306	182	0	0	2100	0	1435	0	0	0	1505	160	941	1468	1869	0	184	1767	528	0
Bcl6	837.551724	0	1136	1752	1962	1686	1637	0	373	89	1283	1085	494	514	0	1652	379	1741	0	0	488	701	476	574	1167	1677	0	361	1855	1207	0
Poli	761.172414	0	1440	2205	1903	2255	626	0	615	0	2152	1971	352	268	0	1492	0	708	0	0	0	734	0	306	1096	1090	0	287	1893	681	0
Gbp7	749.689655	0	1513	2335	811	2441	543	0	543	0	2410	2333	986	602	0	1081	0	331	0	0	0	602	0	457	866	940	0	260	2227	460	0
Socs3	720.034483	0	1115	1546	1842	1863	1830	0	104	0	1413	1163	410	371	0	1521	0	1660	0	0	0	1039	351	497	1222	1314	0	257	1043	320	0
Ikzf4	694.827586	0	799	1851	2370	1929	2290	0	250	0	1418	1061	258	238	0	1170	0	1209	0	0	0	1439	0	886	1104	852	0	140	617	269	0
Rhoq	694.689655	0	1544	2027	1741	2052	616	0	340	0	2113	2025	0	0	0	927	0	941	0	0	0	1150	0	690	775	1199	0	365	1364	277	0
Rasgrp1	694.689655	0	1435	2251	2691	2294	1959	0	404	0	829	689	182	0	0	564	0	0	0	0	0	1575	0	477	1598	1033	0	290	1372	503	0
Cndp2	671.517241	0	1259	2127	2467	2139	1244	0	286	0	970	796	806	449	0	395	0	303	0	0	0	808	0	626	1297	1090	0	184	1709	519	0
Cdk5rap1	652.517241	0	410	1536	1878	1878	1226	0	305	0	1958	1278	463	691	0	958	0	2270	0	0	0	984	181	1328	778	481	0	0	320	0	0
Mzt2	610.448276	0	1106	1552	1869	1947	1448	0	238	0	1854	1814	324	227	0	419	0	108	0	0	0	1057	0	164	900	1178	0	201	1065	232	0
Zfp398	569.000000	0	1211	1790	2020	2070	1736	0	233	0	1356	961	0	133	0	420	0	138	0	0	0	1129	0	220	976	802	0	145	887	274	0
Aldh18a1	559.344828	0	1027	1895	1349	1829	645	0	413	0	1823	1530	297	163	0	692	0	494	0	0	0	332	0	261	812	1146	0	162	1023	328	0
Nek7	554.689655	0	969	1853	137	2179	358	0	170	0	1912	1530	0	0	0	1259	0	1496	0	0	0	737	0	348	637	1101	0	0	1400	0	0
Katnb1	551.241379	0	1391	944	1001	1515	650	0	354	0	1467	1301	0	0	0	791	0	1821	0	0	0	359	86	408	699	1195	0	0	1532	472	0
Irf2	546.000000	0	487	1053	1621	1333	1398	0	0	0	1552	1246	722	600	0	967	84	1671	0	0	0	574	323	392	622	619	0	0	412	158	0
Zfp652	531.896552	0	925	1960	661	2114	156	0	312	0	539	290	631	300	0	1935	0	1393	0	0	0	413	152	420	613	804	0	0	1540	267	0
Ptpn2	527.482759	0	2092	2187	355	2177	915	0	746	0	623	320	137	0	0	1230	0	420	0	0	0	314	0	144	148	1194	0	165	2130	0	0
Tfpt	526.896552	0	1174	1714	873	1849	224	0	311	0	1992	1373	350	312	0	676	0	1169	0	0	0	678	0	272	454	581	0	130	898	250	0
Prpf31	526.896552	0	1174	1714	873	1849	224	0	311	0	1992	1373	350	312	0	676	0	1169	0	0	0	678	0	272	454	581	0	130	898	250	0
Pilrb1	525.034483	0	1029	1350	643	1526	0	0	102	0	1764	1528	316	198	0	1045	0	1570	0	0	0	999	319	775	765	796	0	0	501	0	0
Nsd3	519.379310	0	1389	1255	242	1523	216	0	256	0	1813	1985	112	0	0	884	0	1331	0	0	0	825	149	405	594	592	0	187	1189	115	0
Psmd3	506.862069	0	975	1524	794	1583	458	0	254	0	2111	1808	306	312	0	360	0	721	0	0	0	775	0	409	336	909	0	113	785	166	0
Adck1	487.965517	0	791	1116	1460	1277	1165	0	176	0	1506	1154	170	150	0	549	0	1285	0	0	0	615	128	472	521	688	0	140	624	164	0
Kbtbd3	484.931034	0	908	1457	1466	1641	785	0	150	0	1519	1442	216	114	0	631	0	259	0	0	0	617	0	135	918	732	0	0	890	183	0
