Target_genes	Gli1|Average	SRX1973363|Embryonic_Stem_Cells	SRX1973379|Embryonic_Stem_Cells	STRING
Asmt	604.000000	946	262	0
Ccr1l1	533.000000	806	260	0
Dux	352.500000	705	0	0
Sfi1	321.500000	643	0	0
Olfr613	303.500000	607	0	0
Slc43a3	244.000000	279	209	0
Commd6	227.000000	316	138	0
Kansl3	224.500000	343	106	0
Olfr211	210.000000	420	0	0
Pdcd1lg2	204.000000	274	134	0
D830030K20Rik	189.000000	378	0	0
Dnajc5b	181.500000	363	0	0
Apol7a	171.000000	239	103	0
Mfap2	169.000000	219	119	0
Olfr1373	166.000000	332	0	0
Olfr976	160.500000	321	0	0
Mrpl44	155.500000	311	0	0
Zfp981	145.000000	290	0	0
Cyp2j8	133.000000	266	0	0
Adh6a	131.000000	262	0	0
Esp24	130.500000	163	98	0
Gprc6a	129.500000	259	0	0
Cfap206	129.500000	259	0	0
Adh4	122.000000	244	0	0
Myog	119.500000	239	0	0
Cd1d2	119.500000	239	0	0
Ugt1a1	119.000000	238	0	0
Cd48	119.000000	238	0	0
Gtdc1	114.500000	229	0	0
A530032D15Rik	112.500000	225	0	0
Tamm41	110.000000	220	0	0
Fam71f2	110.000000	220	0	0
Tmbim7	109.500000	219	0	0
Klf12	109.500000	219	0	0
Dock9	109.500000	219	0	0
4930590J08Rik	109.500000	219	0	0
Btg3	108.000000	216	0	0
Rnase2a	106.500000	213	0	0
Ifit1bl1	106.000000	212	0	0
Psma2	105.000000	210	0	0
Psg16	105.000000	210	0	0
Tc2n	102.000000	204	0	0
LOC108167347	101.500000	203	0	0
Tpte	100.000000	200	0	0
Rp1	100.000000	200	0	0
Olfr1348	100.000000	200	0	0
Fmo2	100.000000	200	0	0
Sprr2a2	95.500000	191	0	0
Sprr2a1	95.500000	191	0	0
Slc9a3	95.500000	191	0	0
Slc16a2	95.500000	191	0	0
Ccr3	95.500000	191	0	0
Zfp112	90.500000	181	0	0
Wdr41	90.500000	181	0	0
Olfr740	90.500000	181	0	0
H2al1i	90.500000	181	0	0
H2al1f	90.500000	181	0	0
H2al1d	90.500000	181	0	0
H2al1c	90.500000	181	0	0
H2al1a	90.500000	181	0	0
Gzmc	90.500000	181	0	0
Gm10408	90.500000	181	0	0
Dnase2b	90.500000	181	0	0
1810009J06Rik	90.500000	181	0	0
Gm3383	87.000000	174	0	0
Psmb6	86.000000	172	0	0
Lce3c	86.000000	172	0	0
Tdpoz3	81.500000	163	0	0
Rnf181	81.500000	163	0	0
H2-T3	81.500000	163	0	0
Gm8764	81.500000	163	0	0
Gm6763	81.500000	163	0	0
Gm4340	81.500000	163	0	0
Gm21312	81.500000	163	0	0
Gm21304	81.500000	163	0	0
Gm21293	81.500000	163	0	0
Gm20765	81.500000	163	0	0
Tespa1	80.500000	161	0	0
Olfr154	77.000000	154	0	0
Olfr1434	77.000000	154	0	0
Olfr1248	77.000000	154	0	0
Klk1b22	77.000000	154	0	0
Clec2d	77.000000	154	0	0
Gm904	76.500000	153	0	0
Sp110	75.000000	150	0	0
Kir3dl1	73.500000	147	0	0
Gramd1c	73.500000	147	0	0
Zfp354c	73.000000	146	0	0
Tgtp2	73.000000	146	0	0
Msrb2	73.000000	146	0	0
Ckap5	73.000000	146	0	0
Aldh9a1	72.500000	145	0	0
Vmn1r51	68.500000	137	0	0
Tmem17	68.500000	137	0	0
Ssxb1	68.500000	137	0	0
Lztfl1	68.500000	137	0	0
Cfap97d2	68.500000	137	0	0
Chil5	65.500000	131	0	0
Vmn1r81	64.500000	129	0	0
Rrp7a	64.000000	128	0	0
Daw1	64.000000	128	0	0
Chmp3	64.000000	128	0	0
Gm5797	63.000000	126	0	0
Tmem181a	61.000000	122	0	0
Zfand2a	60.000000	120	0	0
Vash1	60.000000	120	0	0
Smr3a	60.000000	120	0	0
Olfr726	60.000000	120	0	0
Olfr53	60.000000	120	0	0
Olfr378	60.000000	120	0	0
Glyatl3	60.000000	120	0	0
Ndufb4c	59.000000	118	0	0
Olfr107	58.500000	0	117	0
Car13	58.500000	117	0	0
4930512M02Rik	58.000000	116	0	0
Vps36	56.000000	112	0	0
Cflar	56.000000	112	0	0
Elp6	54.000000	108	0	0
Trat1	52.000000	104	0	0
Emcn	52.000000	104	0	0
Csf2rb	52.000000	104	0	0
Actbl2	52.000000	104	0	0
Rplp0	48.000000	96	0	0
Naip7	47.500000	95	0	0
Gm4846	46.000000	92	0	0
Defb9	46.000000	92	0	0
Eif4a3l1	45.000000	90	0	0
Gm13271	43.500000	87	0	0
Vmn1r4	40.500000	81	0	0
Gins2	40.000000	80	0	0
Ugt2b1	39.000000	78	0	0
Rbms2	38.000000	76	0	0
Elobl	37.000000	74	0	0
