Target_genes	Gli3|Average	ERX2693515|Embryonic_brains	ERX2693516|Embryonic_brains	SRX386266|Embryonic_limb	STRING
Olfr270	941.666667	836	1989	0	0
Sfi1	888.333333	1500	1165	0	0
Dux	802.000000	1091	1315	0	0
Pik3r6	793.333333	952	1428	0	0
3110040M04Rik	768.666667	897	1409	0	0
Stk32c	695.333333	952	1134	0	0
Car5b	654.333333	825	1138	0	0
Gm11569	640.000000	551	1369	0	0
Gm11554	640.000000	551	1369	0	0
Gm11938	626.333333	672	1207	0	0
Gm11567	611.666667	581	1254	0	0
Krtap9-1	607.333333	573	1249	0	0
Smarca5	602.000000	644	1162	0	0
Asb2	595.333333	518	1268	0	0
Gm14325	590.666667	380	1392	0	0
Gm11568	584.000000	406	1346	0	0
Gm11559	580.333333	714	1027	0	0
Krtap4-13	571.666667	419	1296	0	0
Lce3f	561.666667	575	1110	0	0
Gm45618	561.000000	581	1102	0	0
Lce3c	548.000000	605	1039	0	0
Gm39115	538.333333	544	1071	0	0
Zfp970	538.000000	386	1228	0	0
Gm11562	535.666667	450	1157	0	0
Lce1m	531.333333	581	1013	0	0
Krtap5-5	526.000000	582	996	0	0
Izumo2	504.333333	509	1004	0	0
Gm4559	487.000000	482	979	0	0
Tmem267	475.666667	549	878	0	0
Gm14322	475.333333	425	1001	0	0
Krtap3-2	472.333333	433	984	0	0
Slc24a3	470.000000	431	979	0	0
Gtsf1	469.666667	357	1052	0	0
Catspere1	464.666667	396	998	0	0
Krtap4-16	464.333333	432	961	0	0
Dmrtc1c2	463.666667	400	991	0	0
Dmrtc1c1	463.666667	400	991	0	0
Krtap31-1	460.666667	403	979	0	0
Ankdd1b	460.333333	397	984	0	0
Krtap4-6	455.000000	392	973	0	0
Krtap1-3	452.333333	412	945	0	0
Krtap5-1	448.000000	406	938	0	0
Abcc12	442.666667	500	828	0	0
Fut8	442.000000	462	864	0	0
Cryge	436.000000	359	949	0	0
Bin2	434.666667	498	806	0	0
Lce3d	433.333333	371	929	0	0
Asz1	432.333333	475	822	0	0
Lce1b	419.666667	371	888	0	0
Lce3e	416.333333	472	777	0	0
Gm3250	415.000000	415	830	0	0
Krtap5-4	414.000000	356	886	0	0
Gm21637	412.333333	356	881	0	0
Pabpc1l	412.000000	421	815	0	0
Spin2-ps1	410.000000	349	881	0	0
Gm11563	407.666667	381	842	0	0
Eif4a3l1	407.333333	386	836	0	0
Krt6a	407.000000	449	772	0	0
Gm11564	406.666667	386	834	0	0
Krtap2-4	405.333333	371	845	0	0
Hba-a2	404.000000	382	830	0	0
Hba-a1	404.000000	382	830	0	0
Olfr322	399.333333	323	875	0	0
Ccdc172	399.000000	413	784	0	0
Krt72	393.666667	356	825	0	0
Stpg4	393.000000	289	890	0	0
Stra8	392.333333	355	822	0	0
Rgs14	390.000000	323	847	0	0
Pabpc2	390.000000	335	835	0	0
F2rl3	389.666667	446	723	0	0
Krtap9-3	388.666667	289	877	0	0
2300003K06Rik	388.666667	330	836	0	0
Topaz1	388.333333	398	767	0	0
Gm7579	388.333333	365	800	0	0
Lce3a	388.000000	408	756	0	0
Gm11596	386.000000	330	828	0	0
Stk31	384.000000	342	810	0	0
Gm11595	384.000000	373	779	0	0
Krtap5-3	383.333333	393	757	0	0
Rnf186	381.333333	417	727	0	0
Krt34	380.666667	463	679	0	0
Il21r	379.333333	276	862	0	0
Hormad1	378.666667	288	848	0	0
Bicra	378.000000	277	857	0	0
Nr0b2	377.000000	285	846	0	0
Piwil1	374.666667	344	780	0	0
Krtap4-1	374.666667	369	755	0	0
Tsga8	372.333333	277	840	0	0
Elf5	372.000000	347	769	0	0
Rpl3l	367.666667	413	690	0	0
Eif4ebp3	367.666667	255	848	0	0
Dnah14	367.000000	396	705	0	0
Tex12	366.333333	326	773	0	0
Pnldc1	365.666667	366	731	0	0
Krtap3-1	365.000000	300	795	0	0
Rnf212b	362.666667	341	747	0	0
Il17re	360.666667	489	593	0	0
Spesp1	358.666667	233	843	0	0
Krtap13	358.666667	327	749	0	0
Dnah8	356.666667	364	706	0	0
Krtap4-9	356.333333	348	721	0	0
Krt33a	356.000000	293	775	0	0
Krtap4-7	353.666667	385	676	0	0
Hsf2bp	352.666667	244	814	0	0
Gm11937	352.000000	376	680	0	0
Tnfrsf13b	351.666667	233	822	0	0
Ctcfl	351.666667	412	643	0	0
Sh3tc1	351.333333	325	729	0	0
Gm10318	349.333333	459	589	0	0
Ankrd65	348.666667	400	646	0	0
Apoc2	348.000000	430	614	0	0
Olfr222	347.666667	211	832	0	0
Gm9508	347.000000	317	724	0	0
Syce3	346.666667	288	752	0	0
Krtap10-10	346.333333	395	644	0	0
Tmprss12	345.666667	330	707	0	0
BC051019	345.000000	327	708	0	0
Krtap5-2	344.666667	347	687	0	0
H2-Q10	343.666667	301	730	0	0
Gm3238	343.000000	290	739	0	0
Catspere2	341.666667	371	654	0	0
Gm3233	339.666667	339	680	0	0
4931406P16Rik	339.000000	312	705	0	0
Krt36	338.333333	323	692	0	0
Krtap3-3	338.000000	406	608	0	0
Gm2004	337.333333	190	822	0	0
Krt33b	336.666667	215	795	0	0
Arhgap40	335.333333	357	649	0	0
Vav1	334.000000	318	684	0	0
Gpat2	332.666667	277	721	0	0
Mettl7a2	332.333333	292	705	0	0
Methig1	332.333333	292	705	0	0
Krtap4-8	332.000000	338	658	0	0
Krtap4-2	332.000000	246	750	0	0
Krtap31-2	331.000000	268	725	0	0
Foxn1	331.000000	291	702	0	0
Gm4307	330.333333	319	672	0	0
Gm4305	330.333333	319	672	0	0
Gm4303	330.333333	319	672	0	0
Bpifb4	330.000000	212	778	0	0
Krt76	329.666667	233	756	0	0
Olfr1344	328.666667	423	563	0	0
Lep	328.333333	244	741	0	0
Ccdc7a	328.333333	232	753	0	0
1600014C10Rik	328.333333	841	144	0	0
1700029P11Rik	327.000000	312	669	0	0
2310057N15Rik	326.666667	251	729	0	0
Tmem262	326.333333	262	717	0	0
Cpeb3	325.666667	323	654	0	0
Krtap1-5	324.666667	354	620	0	0
Cox6a2	324.666667	318	656	0	0
Calhm1	324.666667	373	601	0	0
Ppp1r14bl	323.333333	266	704	0	0
Msh4	323.333333	334	636	0	0
Gabrb2	323.000000	433	536	0	0
Majin	322.666667	198	770	0	0
1700028K03Rik	322.666667	211	757	0	0
Dffb	322.333333	355	612	0	0
Gpr37l1	322.000000	277	689	0	0
Rnf212	321.333333	324	640	0	0
Ifnl2	321.333333	190	774	0	0
Lypd3	321.000000	297	666	0	0
Gm3285	321.000000	279	684	0	0
S100a3	320.666667	244	718	0	0
Rec114	318.000000	312	642	0	0
Igfbp1	318.000000	266	688	0	0
Gm14692	318.000000	278	676	0	0
Gm1140	318.000000	278	676	0	0
Tdrd9	317.333333	219	733	0	0
Sohlh2	317.000000	327	624	0	0
Gm36176	316.666667	304	646	0	0
Fcer1g	316.333333	323	626	0	0
Olfr212	315.333333	334	612	0	0
Krtap1-4	313.333333	258	682	0	0
Kcnk16	313.333333	335	605	0	0
Slc25a54	312.000000	229	707	0	0
Tnip1	311.666667	222	713	0	0
Hnf4a	311.666667	255	680	0	0
Ptchd3	310.666667	295	637	0	0
Gm14295	310.666667	201	731	0	0
Fkbp6	310.333333	348	583	0	0
Ano2	308.666667	246	680	0	0
Krt6b	308.333333	225	700	0	0
Loxhd1	308.000000	277	647	0	0
Rrs1	306.000000	275	643	0	0
Gm9736	305.666667	326	591	0	0
Chrna1	305.666667	300	617	0	0
1700071K01Rik	305.666667	330	587	0	0
Nobox	305.333333	211	705	0	0
Ube2d2b	305.000000	300	615	0	0
Prr23a3	305.000000	288	627	0	0
Zfp72	304.666667	222	692	0	0
Tktl2	304.333333	277	636	0	0
Ptpn20	304.333333	277	636	0	0
Lce1l	304.000000	233	679	0	0
Foxi1	304.000000	277	635	0	0
Ccdc7b	303.666667	282	629	0	0
Abr	303.333333	259	651	0	0
Bank1	302.666667	266	642	0	0
Tdrd12	302.000000	300	606	0	0
P2rx5	302.000000	244	662	0	0
Bend3	302.000000	289	617	0	0
Slc22a1	301.333333	311	593	0	0
Ankrd34c	301.000000	359	544	0	0
Cldn18	300.333333	330	571	0	0
Krtap17-1	299.000000	255	642	0	0
Krt28	299.000000	309	588	0	0
Tox2	298.666667	197	699	0	0
Limk1	298.333333	300	595	0	0
Fer	298.333333	190	705	0	0
Taf7l2	297.666667	208	685	0	0
Slc22a16	297.333333	272	620	0	0
Olfr1349	297.000000	250	641	0	0
Sult2b1	296.666667	225	665	0	0
Pyy	296.666667	160	730	0	0
Pde6c	296.333333	222	667	0	0
Krtap10-4	296.333333	312	577	0	0
Fcna	296.333333	239	650	0	0
1700029H14Rik	296.333333	222	667	0	0
Tmem247	296.000000	211	677	0	0
Slc25a31	295.666667	324	563	0	0
Kncn	295.666667	233	654	0	0
Slc9a3	295.000000	233	652	0	0
Tescl	294.666667	211	673	0	0
Timm8a2	294.333333	266	617	0	0
Nectin4	294.333333	266	617	0	0
Pabpc4	294.000000	277	605	0	0
Noto	294.000000	244	638	0	0
Atp4b	293.333333	293	587	0	0
Slc5a11	292.666667	199	679	0	0
Timm8a1	292.333333	310	567	0	0
Pcdha10	292.000000	283	593	0	0
Aoc2	292.000000	256	620	0	0
Adcy7	292.000000	0	876	0	0
Krt86	291.666667	176	699	0	0
Prss21	291.333333	233	641	0	0
Fgf6	291.333333	211	663	0	0
H2bc1	291.000000	247	626	0	0
H2ac1	291.000000	247	626	0	0
Mtnr1b	290.666667	180	692	0	0
Fau	290.000000	277	593	0	0
Apol8	290.000000	180	690	0	0
Krt16	289.666667	201	668	0	0
Hrh2	289.333333	201	667	0	0
