Target_genes	Smad2|Average	SRX1080389|Embryoid_Bodies	SRX1080390|Embryoid_Bodies	SRX1080403|Embryoid_Bodies	SRX1080404|Embryoid_Bodies	SRX1080406|Embryoid_Bodies	SRX1080407|Embryoid_Bodies	SRX5251391|Embryoid_Bodies	SRX5251392|Embryoid_Bodies	SRX026467|Embryonic_Stem_Cells	SRX026468|Embryonic_Stem_Cells	SRX026469|Embryonic_Stem_Cells	SRX1080395|Embryonic_Stem_Cells	SRX390391|Embryonic_Stem_Cells	SRX4578585|Embryonic_Stem_Cells	SRX5251386|Embryonic_Stem_Cells	SRX390396|mESC_derived_endoodermal_cells	SRX1557250|P19	SRX1557251|P19	SRX1557252|P19	SRX1557253|P19	SRX1557259|P19	SRX1557260|P19	SRX1557261|P19	SRX1557262|P19	SRX1163236|Pancreatic_cancer_cell_lines	SRX1163237|Pancreatic_cancer_cell_lines	SRX4578557|Pancreatic_ductal_adenocarcinoma	SRX4578558|Pancreatic_ductal_adenocarcinoma	SRX4578563|Pancreatic_ductal_adenocarcinoma	SRX4578564|Pancreatic_ductal_adenocarcinoma	SRX4578566|Pancreatic_ductal_adenocarcinoma	SRX4578567|Pancreatic_ductal_adenocarcinoma	STRING
Skil	601.031250	655	99	1600	1330	1822	1582	1383	1342	0	0	0	155	948	1840	1312	888	0	0	0	0	0	0	0	0	1236	254	0	316	0	1383	0	1088	0
Ccny	588.843750	753	179	1058	708	1285	665	1278	2261	0	0	0	484	1518	2780	1708	1323	0	102	384	499	0	0	0	0	338	0	0	181	0	716	165	458	0
Sspn	585.406250	828	438	247	266	439	267	925	1049	816	877	2451	479	1628	221	744	1436	0	271	207	102	0	0	0	0	516	682	399	272	807	626	1136	604	0
Mpp7	485.843750	275	84	1851	1814	1436	1708	1482	1499	0	0	138	0	247	2148	920	671	0	0	0	0	0	0	0	0	312	0	0	366	0	419	0	177	0
Smad7	473.468750	851	0	1166	638	1299	689	1102	1570	0	0	0	353	697	1376	890	733	0	138	427	475	0	87	0	0	542	133	0	571	0	800	0	614	0
Chst15	425.468750	1752	0	1969	103	1724	0	127	2109	0	0	0	222	876	1578	561	1211	0	134	829	240	0	0	0	0	0	0	0	0	0	180	0	0	0
Mtf2	419.343750	423	0	416	259	508	352	458	1152	0	0	0	0	986	806	473	1385	0	0	158	95	0	0	0	0	1215	776	0	877	0	1535	506	1039	0
Lgr4	412.406250	1457	0	1410	0	1303	0	95	1977	108	0	0	598	1299	1412	778	1511	0	0	959	290	0	0	0	0	0	0	0	0	0	0	0	0	0
Lefty1	404.625000	1649	0	1481	0	1554	0	340	1669	0	0	0	544	941	1482	573	940	0	128	1078	569	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubr7	383.718750	1658	0	1381	150	1489	0	526	2300	0	0	0	0	1095	2045	672	0	0	0	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kmt2a	380.406250	222	0	546	397	610	266	653	859	0	0	0	0	93	836	388	274	0	0	0	0	0	0	0	0	1579	1085	125	1064	348	1069	803	956	0
Clcn4	355.062500	695	0	388	144	405	195	233	639	0	0	0	267	895	606	354	1426	0	546	990	718	0	469	188	142	349	244	0	395	0	615	0	459	0
Cltc	347.187500	409	0	464	270	549	244	593	1037	0	0	0	0	704	799	366	921	0	0	266	178	0	0	0	0	959	509	0	659	124	874	388	797	0
Tent4a	326.937500	279	0	691	696	1009	757	737	1305	0	0	0	0	573	1686	903	1192	0	0	0	0	0	0	0	0	134	0	0	0	0	290	0	210	0
Pmepa1	322.281250	849	0	1310	574	978	489	502	1291	0	0	0	0	409	1220	242	1185	0	0	0	0	0	0	0	0	361	0	0	106	0	334	113	350	0
Ccdc88a	310.031250	223	0	490	256	653	316	451	652	0	0	0	0	446	1064	318	1158	0	0	0	0	0	0	0	0	945	361	0	573	87	937	262	729	0
Mkx	309.250000	602	0	402	283	532	166	633	1447	0	0	0	0	239	1599	256	807	0	0	97	208	0	0	0	0	455	0	0	247	0	1146	190	587	0
Ctnna1	301.968750	85	0	343	206	498	164	419	670	0	0	0	0	105	710	487	409	0	0	0	0	0	0	0	0	1765	975	0	779	0	1059	405	584	0
Nfat5	297.031250	207	0	371	322	595	194	456	770	0	0	0	0	386	439	278	838	0	0	0	0	0	0	0	0	1171	478	0	540	209	875	531	845	0
Gnb2	293.437500	434	0	277	122	496	235	427	922	0	0	0	0	894	854	351	836	0	0	0	123	0	0	0	0	719	427	0	528	0	823	360	562	0
Asmt	289.812500	182	0	0	0	344	310	462	322	0	200	154	256	427	221	172	299	0	221	177	0	0	0	0	0	978	759	728	693	617	537	588	627	0
