Target_genes	Smad3|Average	SRX2245993|Corpus_Striatum	SRX2245994|Corpus_Striatum	SRX2245995|Corpus_Striatum	SRX2245996|Corpus_Striatum	SRX5251393|Embryoid_Bodies	SRX5251394|Embryoid_Bodies	SRX130598|Embryonic_brains	SRX026254|Embryonic_Stem_Cells	SRX026255|Embryonic_Stem_Cells	SRX026256|Embryonic_Stem_Cells	SRX026257|Embryonic_Stem_Cells	SRX477547|Embryonic_Stem_Cells	SRX5251387|Embryonic_Stem_Cells	SRX1998723|MEF	SRX1998724|MEF	SRX1998725|MEF	SRX1998728|MEF	SRX1998729|MEF	SRX1998730|MEF	ERX028786|Neural_Stem_Cells	SRX3855869|Vascular_smooth_muscle_cells	SRX3855871|Vascular_smooth_muscle_cells	SRX3855877|Vascular_smooth_muscle_cells	SRX3855879|Vascular_smooth_muscle_cells	STRING
Polr2a	500.291667	231	0	220	135	2218	2372	205	0	176	0	94	0	2701	97	822	453	80	406	0	205	287	491	372	442	0
Gadd45b	362.125000	91	0	0	0	2036	1886	252	0	0	0	0	0	2214	0	501	342	0	234	0	255	186	280	113	301	0
Tesk2	359.250000	0	0	0	0	2770	2889	129	0	0	0	140	0	2562	0	0	0	0	0	0	132	0	0	0	0	0
Cth	345.166667	0	0	0	0	2729	2749	134	0	0	0	0	0	2541	0	0	0	0	0	0	131	0	0	0	0	0
Sfxn2	340.916667	0	0	0	0	2472	2479	236	0	0	0	0	0	2759	0	0	0	0	0	0	236	0	0	0	0	0
Arl3	340.916667	0	0	0	0	2472	2479	236	0	0	0	0	0	2759	0	0	0	0	0	0	236	0	0	0	0	0
Dcaf11	340.208333	0	0	0	0	2578	2697	156	0	0	0	0	0	2578	0	0	0	0	0	0	156	0	0	0	0	0
Hif1a	320.500000	0	0	0	0	1951	1937	393	0	0	0	0	0	2564	0	271	183	0	0	0	393	0	0	0	0	0
Esyt1	311.500000	0	0	0	0	2039	1935	193	0	0	0	0	0	2455	0	173	0	0	172	0	193	136	180	0	0	0
Midn	304.875000	0	0	0	0	2282	2170	128	0	0	0	0	0	2134	0	0	0	0	0	0	128	151	157	0	167	0
Tle6	298.916667	0	0	0	0	2206	2448	0	0	165	0	165	0	2190	0	0	0	0	0	0	0	0	0	0	0	0
Srm	289.166667	0	0	0	0	1918	2164	171	0	0	0	0	0	2513	0	0	0	0	0	0	174	0	0	0	0	0
Txlna	286.166667	0	0	0	0	1766	1895	173	0	0	0	0	0	2862	0	0	0	0	0	0	172	0	0	0	0	0
Megf9	281.333333	0	0	0	0	1892	1975	120	0	0	0	0	0	2464	0	71	0	0	0	0	119	0	111	0	0	0
Esrp1	277.750000	0	0	0	0	2341	2188	0	0	0	0	0	0	2137	0	0	0	0	0	0	0	0	0	0	0	0
Klf6	276.708333	0	0	0	0	1759	1593	0	0	0	0	0	0	2196	0	214	0	0	0	0	0	244	276	107	252	0
Sspn	275.875000	182	161	0	146	1338	1035	170	315	550	207	758	0	1271	0	128	0	0	76	0	159	0	125	0	0	0
Slc20a1	275.541667	0	0	0	0	1598	1553	167	0	0	0	0	0	2505	0	218	0	0	0	0	166	118	172	0	116	0
Tle4	275.291667	0	0	0	0	2078	2175	0	0	126	0	0	0	2109	0	119	0	0	0	0	0	0	0	0	0	0
Gadd45g	275.291667	0	0	0	0	1047	1066	251	0	166	0	152	0	1564	0	672	389	119	311	0	250	172	170	81	197	0
Sh2d5	275.000000	0	0	0	0	2100	2076	0	0	0	0	0	0	2424	0	0	0	0	0	0	0	0	0	0	0	0
Tle1	274.500000	0	0	0	0	2065	2146	160	0	0	0	0	0	2057	0	0	0	0	0	0	160	0	0	0	0	0
Utp14b	265.958333	0	0	0	0	1334	1563	198	0	139	0	236	0	1644	0	434	234	0	159	0	197	123	122	0	0	0
Acsl3	265.958333	0	0	0	0	1334	1563	198	0	139	0	236	0	1644	0	434	234	0	159	0	197	123	122	0	0	0
Pitx3	263.833333	0	0	0	0	1639	1818	215	0	0	0	0	0	2448	0	0	0	0	0	0	212	0	0	0	0	0
Inafm2	262.291667	0	0	0	0	1868	1825	302	0	0	0	217	0	1641	0	140	0	0	0	0	302	0	0	0	0	0
Mxd4	257.875000	0	0	0	0	1492	1391	250	0	0	0	0	0	2566	0	0	0	0	122	0	251	0	0	0	117	0
Klf10	256.291667	0	0	0	0	1718	1718	142	0	96	0	0	0	2017	0	167	151	0	0	0	142	0	0	0	0	0
Pbk	251.125000	0	0	0	0	1820	2145	109	0	0	0	0	0	1843	0	0	0	0	0	0	110	0	0	0	0	0
Nrarp	243.625000	0	0	0	0	1751	1603	166	0	0	0	0	0	2161	0	0	0	0	0	0	166	0	0	0	0	0
Ccny	243.083333	0	0	0	0	1062	2316	144	145	483	0	232	0	958	0	132	92	0	0	0	146	0	124	0	0	0
Pdk2	240.666667	0	0	0	0	1382	1740	220	0	0	0	0	0	2214	0	0	0	0	0	0	220	0	0	0	0	0
Sgpl1	236.666667	0	0	0	0	1554	1684	172	0	0	0	0	0	1593	0	210	0	0	0	0	170	116	87	0	94	0
Nol6	235.916667	0	0	0	0	1418	1361	201	0	112	0	0	0	2367	0	0	0	0	0	0	203	0	0	0	0	0
Lrig1	235.916667	0	0	0	0	1427	1592	233	0	0	0	83	0	1991	0	0	0	0	0	0	233	0	103	0	0	0
Skil	233.791667	0	0	0	0	1444	1554	122	0	419	0	312	0	957	0	357	131	0	193	0	122	0	0	0	0	0
Cndp2	228.416667	0	0	0	0	1406	1716	101	0	0	0	0	0	2158	0	0	0	0	0	0	101	0	0	0	0	0
Kcnab2	227.375000	0	0	0	0	1266	1302	198	0	0	0	0	0	2493	0	0	0	0	0	0	198	0	0	0	0	0
Ttc9	226.750000	0	0	0	0	1758	1765	84	0	0	0	0	0	1751	0	0	0	0	0	0	84	0	0	0	0	0
Nphp4	226.125000	0	0	0	0	1266	1302	183	0	0	0	0	0	2493	0	0	0	0	0	0	183	0	0	0	0	0
Zfp131	224.166667	0	0	0	0	1741	1845	0	0	0	0	0	0	1794	0	0	0	0	0	0	0	0	0	0	0	0
Mt2	218.541667	0	0	0	0	1483	1232	162	0	0	0	121	0	1648	0	0	150	0	0	0	161	76	133	0	79	0
Cnbp	217.750000	0	0	0	0	1505	1268	286	0	0	0	0	0	1770	0	0	0	0	0	0	286	0	111	0	0	0
Mpp7	217.208333	0	0	0	0	1787	2101	173	0	129	0	158	0	455	0	144	0	0	94	0	172	0	0	0	0	0
Slc30a1	214.708333	0	0	0	0	1477	1637	122	0	0	0	0	0	1795	0	0	0	0	0	0	122	0	0	0	0	0
B3gntl1	205.666667	0	0	0	0	877	1377	154	0	0	0	0	0	2242	0	0	0	0	0	0	155	0	131	0	0	0
Kras	200.833333	0	0	0	0	1275	1386	162	0	0	0	199	0	1636	0	0	0	0	0	0	162	0	0	0	0	0
Phlpp1	200.166667	0	0	0	0	1591	1173	250	0	0	0	0	0	1541	0	0	0	0	0	0	249	0	0	0	0	0
Sppl2a	199.750000	0	0	0	0	1509	1333	0	0	0	0	102	0	1616	0	0	0	0	0	0	0	87	147	0	0	0
Lgr4	199.041667	0	0	0	0	424	2185	136	215	380	103	77	0	531	0	252	0	0	95	0	137	0	106	0	136	0
Ciart	197.583333	0	0	0	0	729	799	769	0	0	0	0	0	1673	0	0	0	0	0	0	772	0	0	0	0	0
Ass1	196.666667	0	0	0	0	1152	1145	0	0	0	0	121	0	2302	0	0	0	0	0	0	0	0	0	0	0	0
Asmt	196.166667	248	188	300	330	266	305	0	230	159	111	138	0	261	168	290	234	276	308	0	0	184	244	182	286	0
Eapp	195.541667	271	0	119	0	361	340	101	195	288	140	0	0	283	0	466	388	0	293	0	103	320	394	213	418	0
Crlf2	194.458333	0	0	0	0	1523	1597	0	0	0	0	0	0	1547	0	0	0	0	0	0	0	0	0	0	0	0
Ssbp2	194.333333	0	0	0	0	1250	1556	130	0	0	0	154	0	1355	0	0	0	0	0	0	130	0	89	0	0	0
Ing1	193.625000	0	0	0	0	115	204	127	0	0	0	0	0	134	0	886	515	99	479	95	127	416	412	439	599	0
Lfng	190.625000	0	0	0	0	975	946	187	0	0	0	0	0	1955	0	186	138	0	0	0	188	0	0	0	0	0
Kdm2b	190.333333	0	0	0	0	1181	1155	136	0	0	0	0	0	1672	0	110	0	0	177	0	137	0	0	0	0	0
Gtf3c6	187.958333	0	0	0	0	107	167	104	218	299	0	0	0	88	0	367	640	0	200	0	102	607	474	514	624	0
Sptb	185.166667	0	0	0	0	1358	1569	0	0	0	0	0	0	1517	0	0	0	0	0	0	0	0	0	0	0	0
Mt1	184.541667	0	0	0	0	1096	1059	256	0	0	0	0	0	1250	0	101	0	0	112	0	254	0	117	0	184	0
Srsf7	182.625000	0	0	0	0	200	334	278	0	98	0	81	0	147	0	702	309	0	399	0	276	351	542	241	425	0
Tatdn2	181.000000	0	0	0	0	785	884	361	0	0	0	0	0	1669	0	80	0	0	0	0	359	120	0	0	86	0
Zfand3	179.916667	0	0	0	0	1089	1271	152	0	0	0	0	0	1052	0	0	0	0	149	0	152	186	166	0	101	0
Hes6	178.750000	0	0	0	0	323	1517	168	156	626	0	642	0	378	0	0	0	0	0	0	167	104	104	0	105	0
Kirrel	176.791667	0	0	0	0	1258	1434	0	0	0	0	144	0	1407	0	0	0	0	0	0	0	0	0	0	0	0
Zfhx3	176.458333	0	0	0	0	1361	1297	0	0	0	0	153	0	1424	0	0	0	0	0	0	0	0	0	0	0	0
Chst15	175.208333	0	0	0	0	204	2206	0	217	560	150	378	0	490	0	0	0	0	0	0	0	0	0	0	0	0
Zfp59	174.291667	0	0	0	0	974	992	117	0	0	0	0	0	1979	0	0	0	0	0	0	121	0	0	0	0	0
Tnrc6c	172.791667	0	0	0	0	663	736	237	0	0	0	0	0	775	0	465	176	0	207	0	237	180	213	102	156	0
Cul3	172.541667	0	0	0	0	909	801	256	0	0	0	0	0	1788	0	131	0	0	0	0	256	0	0	0	0	0
Tti2	171.791667	0	0	0	0	458	602	279	123	138	0	0	0	369	0	222	215	0	144	0	279	243	374	196	481	0
Irf2	171.000000	0	0	0	0	1357	1194	0	0	0	0	0	0	1553	0	0	0	0	0	0	0	0	0	0	0	0
Sema4c	170.208333	0	0	0	0	1146	1143	166	0	0	0	0	0	956	0	0	0	0	0	0	166	110	158	86	154	0
Uso1	169.916667	0	0	0	0	930	996	296	0	0	0	0	0	1394	0	0	166	0	0	0	296	0	0	0	0	0
G3bp2	169.916667	0	0	0	0	930	996	296	0	0	0	0	0	1394	0	0	166	0	0	0	296	0	0	0	0	0
Tspan9	168.791667	0	0	0	0	1376	1212	0	0	105	0	0	0	1358	0	0	0	0	0	0	0	0	0	0	0	0
Urgcp	168.583333	0	0	0	0	292	954	269	135	209	0	333	0	343	0	354	174	0	100	0	272	235	246	0	130	0
Mtf2	168.333333	0	0	0	0	522	1324	242	109	264	0	239	147	392	0	176	93	0	0	0	243	0	148	0	141	0
Stat3	168.208333	0	0	0	0	836	666	254	0	111	0	170	0	1423	0	107	0	0	0	0	255	0	112	0	103	0
Pdia3	166.416667	0	0	0	0	850	874	281	0	0	0	146	0	1160	0	173	0	0	106	0	284	0	120	0	0	0
Catsper2	166.416667	0	0	0	0	850	874	281	0	0	0	146	0	1160	0	173	0	0	106	0	284	0	120	0	0	0
Poldip3	165.791667	110	0	0	0	460	399	114	0	158	0	0	0	201	0	307	337	0	170	0	118	450	417	274	464	0
Slc45a3	164.958333	0	0	0	0	1350	1482	0	0	0	0	0	0	1127	0	0	0	0	0	0	0	0	0	0	0	0
Hes1	162.750000	0	0	0	0	920	801	117	0	0	0	0	0	1764	0	187	0	0	0	0	117	0	0	0	0	0
Lratd2	161.000000	0	0	0	0	1355	1140	0	0	0	0	0	0	1369	0	0	0	0	0	0	0	0	0	0	0	0
Svop	160.208333	0	0	0	0	1123	1175	133	0	0	0	0	0	1282	0	0	0	0	0	0	132	0	0	0	0	0
Znrf2	160.041667	0	0	0	0	918	768	162	0	0	0	103	0	1728	0	0	0	0	0	0	162	0	0	0	0	0
Ptdss1	159.625000	0	0	0	0	948	1067	148	0	0	0	0	0	1326	0	93	0	0	0	0	149	0	100	0	0	0
Mterf3	159.625000	0	0	0	0	948	1067	148	0	0	0	0	0	1326	0	93	0	0	0	0	149	0	100	0	0	0
Smad3	159.458333	0	0	0	0	678	905	201	0	0	0	0	0	593	0	287	480	0	281	200	202	0	0	0	0	0
1190007I07Rik	159.416667	0	0	0	0	1090	1156	80	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0
Rimklb	159.375000	0	0	0	0	1209	1230	0	0	0	0	0	0	1386	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo47	159.083333	0	0	0	0	1040	963	233	0	0	0	127	0	1224	0	0	0	0	0	0	231	0	0	0	0	0
Cltc	159.041667	0	0	0	0	746	1286	253	0	174	0	194	0	731	0	110	0	0	0	0	253	70	0	0	0	0
Srp19	158.583333	0	0	0	0	722	766	184	0	150	0	91	0	1168	0	108	90	0	0	0	184	97	118	0	128	0
Serf2	157.791667	0	0	0	0	1040	818	373	0	0	0	0	0	1179	0	0	0	0	0	0	377	0	0	0	0	0
Tbrg1	157.750000	0	0	0	0	1036	857	110	0	109	0	224	0	1245	0	94	0	0	0	0	111	0	0	0	0	0
Zfp521	157.541667	0	0	0	0	1068	1450	0	0	0	0	0	0	1263	0	0	0	0	0	0	0	0	0	0	0	0
Lactb2	157.375000	0	0	0	0	706	708	89	0	0	0	112	0	2073	0	0	0	0	0	0	89	0	0	0	0	0
Acyp1	155.750000	0	0	0	0	1005	942	171	0	0	0	0	0	1336	0	108	0	0	0	0	176	0	0	0	0	0
Nptn	155.666667	0	0	0	0	941	767	178	0	0	0	0	0	1244	0	212	0	0	218	0	176	0	0	0	0	0
Lefty1	155.583333	0	0	0	0	0	1817	0	512	812	137	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc88a	155.208333	0	0	0	0	621	1367	210	0	0	0	154	0	355	0	196	188	0	123	0	209	130	172	0	0	0
Mex3b	155.125000	0	0	0	0	996	988	228	0	0	0	0	0	1094	0	0	0	0	0	0	229	0	89	0	99	0
Insig1	154.750000	0	0	0	0	241	243	158	0	0	0	0	0	171	0	624	401	0	331	0	159	362	388	269	367	0
Tent4a	154.416667	0	0	0	0	506	1851	130	101	246	0	189	0	553	0	0	0	0	0	0	130	0	0	0	0	0
Ccdc102a	154.375000	0	0	0	0	955	1214	211	0	0	0	0	0	1114	0	0	0	0	0	0	211	0	0	0	0	0
Sema5b	154.125000	0	0	0	0	1224	1148	151	0	0	0	0	0	1026	0	0	0	0	0	0	150	0	0	0	0	0
