Target_genes	Smad1|Average	SRX1082039|Embryonic_Stem_Cells	SRX1082040|Embryonic_Stem_Cells	SRX2401993|Embryonic_Stem_Cells	SRX2401994|Embryonic_Stem_Cells	SRX2401996|Embryonic_Stem_Cells	SRX2401997|Embryonic_Stem_Cells	SRX100314|G1E	SRX100317|G1E	SRX700955|Hair_Follicle	SRX700957|Hair_Follicle	SRX1082042|mESC_derived_epiblast-like_cells	SRX1082043|mESC_derived_epiblast-like_cells	STRING
Oasl1	475.833333	380	338	664	581	476	567	226	255	757	748	358	360	0
Asmt	303.416667	164	214	501	530	265	544	185	180	300	758	0	0	0
Herc1	222.000000	0	0	0	0	0	0	963	1701	0	0	0	0	0
Sspn	212.000000	154	199	0	0	0	0	439	359	579	814	0	0	0
Sfi1	209.416667	508	732	134	166	104	0	271	598	0	0	0	0	0
Gga1	187.500000	0	0	0	0	0	0	949	1301	0	0	0	0	0
4833439L19Rik	184.250000	102	169	0	0	0	0	0	1940	0	0	0	0	0
Trim80	172.500000	726	1344	0	0	0	0	0	0	0	0	0	0	0
Lamp1	172.083333	0	0	0	0	0	0	97	1968	0	0	0	0	0
Wdr27	171.000000	0	0	0	0	0	0	0	2052	0	0	0	0	0
1600012H06Rik	171.000000	0	0	0	0	0	0	0	2052	0	0	0	0	0
Cct8	169.416667	0	0	0	0	0	0	112	1921	0	0	0	0	0
Tas1r1	168.666667	0	0	0	0	0	0	109	1915	0	0	0	0	0
Nol9	168.666667	0	0	0	0	0	0	109	1915	0	0	0	0	0
Psmb2	167.666667	0	0	0	0	0	0	74	1938	0	0	0	0	0
Tmcc2	167.500000	0	0	0	0	0	0	2010	0	0	0	0	0	0
Mcts2	164.750000	195	491	0	0	0	0	0	1291	0	0	0	0	0
Rps7	164.416667	0	0	0	0	0	0	156	1817	0	0	0	0	0
Rnpc3	164.000000	0	0	0	0	0	0	119	1849	0	0	0	0	0
Ttc14	162.916667	0	0	0	0	0	0	0	1955	0	0	0	0	0
Ankfy1	162.750000	0	0	0	0	0	0	189	1764	0	0	0	0	0
