Target_genes	Smad4|Average	SRX3014617|CD4-Positive_T-Lymphocytes	SRX3014618|CD4-Positive_T-Lymphocytes	SRX3014619|CD4-Positive_T-Lymphocytes	SRX3014620|CD4-Positive_T-Lymphocytes	SRX5023289|Duodenum	SRX5023290|Duodenum	SRX3101083|Embryoid_Bodies	SRX3101084|Embryoid_Bodies	SRX5251395|Embryoid_Bodies	SRX5251396|Embryoid_Bodies	SRX4046280|Embryonic_limb	SRX5251388|Embryonic_Stem_Cells	SRX529265|Lung	SRX1094554|Neural_Stem_Cells	SRX5551007|Unclassified	SRX5551008|Unclassified	SRX5551011|Unclassified	SRX5551012|Unclassified	STRING
Skil	850.444444	1446	1188	0	0	1046	982	1343	267	238	1338	0	531	1419	1727	1378	1015	951	439	0
Ccny	767.000000	1821	1721	167	0	576	571	1016	226	180	1013	0	548	1739	1190	1461	723	492	362	0
Smad7	749.833333	1402	1320	141	0	1547	1610	972	363	179	978	0	288	1217	927	739	525	617	672	0
Smad6	609.888889	789	490	0	0	1317	1233	607	0	0	604	0	0	1333	761	1058	703	1187	896	0
Mpp7	597.055556	1772	1649	133	109	537	671	890	0	193	1014	0	397	558	686	831	462	438	407	0
Cltc	543.944444	1683	1513	317	237	410	524	721	126	0	719	0	332	914	812	946	537	0	0	0
Myl6b	540.222222	1870	1517	0	0	186	0	912	0	0	913	0	167	446	1538	1170	276	470	259	0
Atad2b	484.833333	1298	1213	0	0	952	1017	409	0	0	409	0	0	1237	347	1087	289	329	140	0
Zfp148	473.388889	1212	1016	0	0	308	359	467	0	0	473	0	205	744	544	1609	1130	237	217	0
Sspn	463.277778	655	546	310	718	515	583	393	1347	579	498	0	558	412	418	233	574	0	0	0
Kmt2a	373.722222	1070	963	154	0	375	661	544	0	53	558	0	304	314	640	733	358	0	0	0
Tent4a	353.611111	784	971	106	0	277	278	481	0	73	479	0	344	698	485	722	340	208	119	0
Kbtbd7	350.722222	1314	978	0	0	524	546	80	0	0	79	0	0	437	263	1061	415	338	278	0
Ccdc88a	334.944444	455	436	0	0	124	190	365	177	0	364	0	241	748	611	1230	863	115	110	0
Mtf2	334.222222	853	854	0	0	277	450	548	126	0	550	0	228	788	307	682	263	0	90	0
Asmt	327.000000	887	750	477	510	245	333	203	253	270	236	809	210	272	243	188	0	0	0	0
Id1	315.111111	0	0	0	0	476	397	821	0	0	829	0	258	849	310	1095	248	229	160	0
Ncbp3	312.833333	1331	1185	189	0	161	163	329	0	0	327	0	120	438	356	646	386	0	0	0
Brpf1	312.666667	762	937	0	0	227	256	285	0	0	283	0	105	493	353	1131	423	262	111	0
Gnb2	311.000000	778	712	0	0	326	435	405	150	0	402	0	94	786	143	951	416	0	0	0
Ttll13	304.944444	152	220	0	0	647	615	228	0	0	225	0	0	1045	432	1049	276	346	254	0
Ypel3	301.388889	664	537	0	0	124	138	236	0	0	235	0	0	659	144	1111	514	581	482	0
Gabpb1	279.388889	820	681	137	0	653	530	281	0	0	291	0	0	629	232	519	256	0	0	0
Dcaf10	278.666667	740	738	0	0	284	423	303	0	0	300	0	0	905	303	683	337	0	0	0
Cyp51	278.555556	614	831	0	0	712	700	433	0	0	446	0	110	296	301	394	177	0	0	0
Ubn2	274.611111	637	579	0	0	610	606	343	0	0	342	0	0	527	220	311	124	415	229	0
Tut7	270.055556	703	671	0	0	165	208	154	0	0	153	0	123	915	195	1033	541	0	0	0
Mob4	267.444444	584	591	0	0	259	369	431	0	0	429	0	134	515	304	819	379	0	0	0
Sik2	265.722222	657	585	0	0	231	412	498	172	0	507	0	390	339	445	323	151	0	73	0
Ankrd24	264.944444	1186	990	223	0	453	454	100	0	0	102	0	0	566	131	412	152	0	0	0
Sirt6	264.611111	1186	990	223	0	453	454	94	0	0	102	0	0	566	131	412	152	0	0	0
Nme1	263.222222	811	816	0	0	0	142	109	0	0	107	0	0	1233	341	403	267	293	216	0
Tnfaip3	261.944444	1383	1146	182	312	0	76	187	0	0	186	0	0	541	168	234	209	0	91	0
Nfkbia	260.611111	479	373	0	0	259	298	155	0	0	154	0	0	631	153	1305	587	181	116	0
Chd9	259.111111	462	458	0	0	324	333	593	0	0	589	0	229	845	99	605	127	0	0	0
Odc1	256.666667	424	493	0	0	331	518	377	0	0	383	0	110	462	474	754	294	0	0	0
Srebf1	256.388889	267	214	0	0	398	322	754	0	0	752	0	94	0	207	945	292	279	91	0
Hjurp	255.722222	391	404	0	0	359	364	233	0	0	233	0	0	704	386	678	474	198	179	0
A730008H23Rik	255.722222	391	404	0	0	359	364	233	0	0	233	0	0	704	386	678	474	198	179	0
Sumo2	255.666667	584	426	0	0	371	563	100	0	0	99	0	0	531	418	1075	292	143	0	0
Seh1l	255.166667	669	923	0	0	384	470	318	0	0	315	0	0	167	280	597	276	194	0	0
Mcur1	255.055556	179	133	0	0	337	402	322	0	0	321	0	0	387	197	1325	633	259	96	0
