Target_genes	Ctnnb1|Average	SRX172938|Embryonic_kidney	SRX172939|Embryonic_kidney	SRX1293143|Hematopoietic_Stem_Cells	SRX1293144|Hematopoietic_Stem_Cells	SRX1293145|Hematopoietic_Stem_Cells	SRX116906|Hepatocytes	SRX6818033|Mesenchymal_stem_cells	SRX6818034|Mesenchymal_stem_cells	SRX6818035|Mesenchymal_stem_cells	SRX6818036|Mesenchymal_stem_cells	SRX5723671|mIMCD-3	SRX5723672|mIMCD-3	SRX5723673|mIMCD-3	SRX5723674|mIMCD-3	SRX5723677|mIMCD-3	SRX5723678|mIMCD-3	SRX5723679|mIMCD-3	SRX5723680|mIMCD-3	SRX7856417|Trophoblast_stem_cells	SRX7856418|Trophoblast_stem_cells	STRING
Smad3	472.650000	0	0	0	0	0	0	0	0	0	0	1155	1238	1267	1229	1193	961	1217	1193	0	0	0
Psmb5	429.850000	0	0	0	0	0	0	2900	428	3312	1957	0	0	0	0	0	0	0	0	0	0	0
Usp31	386.550000	0	0	0	0	0	0	2471	242	3163	1855	0	0	0	0	0	0	0	0	0	0	0
Slmap	374.750000	0	0	0	0	0	0	3331	333	2766	1065	0	0	0	0	0	0	0	0	0	0	0
Tpgs1	360.350000	0	0	0	0	0	0	3282	409	2571	945	0	0	0	0	0	0	0	0	0	0	0
Cradd	353.350000	0	0	0	0	0	0	2995	285	2695	1092	0	0	0	0	0	0	0	0	0	0	0
Spink10	329.000000	0	0	0	0	0	0	2391	265	2549	1375	0	0	0	0	0	0	0	0	0	0	0
Fbxo38	329.000000	0	0	0	0	0	0	2391	265	2549	1375	0	0	0	0	0	0	0	0	0	0	0
Txndc15	324.800000	0	0	0	0	0	0	2213	270	2704	1309	0	0	0	0	0	0	0	0	0	0	0
Oasl1	313.800000	528	162	0	237	0	0	551	506	392	567	479	372	364	432	425	535	405	321	0	0	0
Asmt	290.850000	225	357	180	272	0	318	731	570	737	627	253	283	259	270	173	145	186	231	0	0	0
Slx4ip	284.100000	0	0	0	0	0	0	2449	446	2104	683	0	0	0	0	0	0	0	0	0	0	0
Mkks	284.100000	0	0	0	0	0	0	2449	446	2104	683	0	0	0	0	0	0	0	0	0	0	0
Cxxc1	271.350000	0	0	0	0	0	0	2571	372	1914	570	0	0	0	0	0	0	0	0	0	0	0
Atg4c	263.350000	0	0	0	0	0	0	0	0	4003	1264	0	0	0	0	0	0	0	0	0	0	0
Zfp672	260.700000	0	0	0	0	0	0	1878	136	2225	975	0	0	0	0	0	0	0	0	0	0	0
Sh3bp5l	260.700000	0	0	0	0	0	0	1878	136	2225	975	0	0	0	0	0	0	0	0	0	0	0
Prkcsh	255.800000	0	0	0	0	0	0	2367	227	1718	804	0	0	0	0	0	0	0	0	0	0	0
Ccdc151	255.800000	0	0	0	0	0	0	2367	227	1718	804	0	0	0	0	0	0	0	0	0	0	0
Napepld	250.700000	0	0	0	0	0	0	3012	445	1184	373	0	0	0	0	0	0	0	0	0	0	0
Hoxa9	247.250000	0	0	0	0	0	0	489	0	3071	1385	0	0	0	0	0	0	0	0	0	0	0
Prpsap1	243.100000	0	0	0	0	0	0	2035	225	1780	822	0	0	0	0	0	0	0	0	0	0	0
Tomm40l	242.450000	0	0	0	0	0	0	1797	149	2092	811	0	0	0	0	0	0	0	0	0	0	0
Apoa2	242.450000	0	0	0	0	0	0	1797	149	2092	811	0	0	0	0	0	0	0	0	0	0	0
Prepl	234.300000	0	0	0	0	0	0	1935	156	1968	627	0	0	0	0	0	0	0	0	0	0	0
Camkmt	234.300000	0	0	0	0	0	0	1935	156	1968	627	0	0	0	0	0	0	0	0	0	0	0
Usf1	230.000000	0	97	0	0	0	0	1940	181	1653	729	0	0	0	0	0	0	0	0	0	0	0
Nr3c1	220.450000	0	0	0	0	0	0	1822	271	1586	730	0	0	0	0	0	0	0	0	0	0	0
Eps8	220.000000	0	0	0	0	0	0	240	0	3095	1065	0	0	0	0	0	0	0	0	0	0	0
Tmbim4	219.100000	0	0	0	0	0	0	1574	164	1762	882	0	0	0	0	0	0	0	0	0	0	0
Cdk5rap2	216.550000	0	0	0	0	0	0	2098	213	1486	534	0	0	0	0	0	0	0	0	0	0	0
Kat7	215.250000	0	0	0	0	0	0	2726	253	1059	267	0	0	0	0	0	0	0	0	0	0	0
Uqcrh	207.550000	0	0	0	0	0	0	1695	194	1514	748	0	0	0	0	0	0	0	0	0	0	0
Lrrc41	207.550000	0	0	0	0	0	0	1695	194	1514	748	0	0	0	0	0	0	0	0	0	0	0
Rpl22	195.450000	0	0	0	0	0	0	1335	189	1645	740	0	0	0	0	0	0	0	0	0	0	0
Exosc2	192.250000	0	0	0	0	0	0	1325	151	1665	704	0	0	0	0	0	0	0	0	0	0	0
Ankmy1	191.300000	0	0	0	0	0	0	199	0	2907	720	0	0	0	0	0	0	0	0	0	0	0
Gpr176	189.500000	0	0	0	0	0	0	280	0	2870	640	0	0	0	0	0	0	0	0	0	0	0
Rab7	186.750000	0	0	0	0	0	0	2061	260	1081	333	0	0	0	0	0	0	0	0	0	0	0
Cma2	182.900000	0	0	0	0	0	0	183	0	3103	372	0	0	0	0	0	0	0	0	0	0	0
Ccdc124	181.950000	0	0	0	0	0	0	2265	275	830	269	0	0	0	0	0	0	0	0	0	0	0
