Target_genes	Lef1|Average	SRX2987360|Back_skin	SRX5227764|CD4-Positive_T-Lymphocytes	SRX5227765|CD4-Positive_T-Lymphocytes	SRX4504687|Keratinocytes	STRING
Asmt	554.500000	274	614	806	524	0
Oasl1	311.000000	345	255	149	495	0
Rbbp8	254.500000	382	0	0	636	0
Cyb5r4	227.250000	150	0	0	759	0
Sspn	183.500000	334	0	0	400	0
Coq2	142.250000	0	0	0	569	0
1190007I07Rik	133.750000	0	143	0	392	0
Mab21l4	103.000000	0	0	0	412	0
H2bc21	80.250000	0	126	0	195	0
H2ac20	80.250000	0	126	0	195	0
Cuedc2	78.000000	0	0	0	312	0
Amotl2	61.250000	0	0	0	245	0
Ric3	59.250000	0	0	0	237	0
Fam185a	59.250000	0	119	0	118	0
Ccdc146	59.250000	0	119	0	118	0
Sh2b1	58.000000	0	0	0	232	0
Bcas1	54.000000	0	0	0	216	0
Pilrb2	53.000000	0	0	0	212	0
Slc16a13	52.500000	0	0	0	210	0
Zpld1	52.000000	0	0	0	208	0
Gtf2b	51.750000	0	0	0	207	0
Dr1	49.750000	0	0	0	199	0
Sfi1	49.500000	0	0	0	198	0
Zfp12	49.250000	0	0	0	197	0
Ppil3	49.250000	0	0	0	197	0
Nif3l1	49.250000	0	0	0	197	0
Tob2	48.750000	0	0	0	195	0
Slc25a28	47.000000	0	0	0	188	0
Sc5d	46.250000	0	0	0	185	0
Krt90	45.250000	0	0	0	181	0
Bdnf	44.500000	0	0	0	178	0
Sphk2	43.000000	0	0	0	172	0
Gtf3c6	43.000000	0	0	0	172	0
Grhl2	40.000000	160	0	0	0	0
Tpra1	38.500000	0	62	0	92	0
Mtf2	37.750000	0	0	0	151	0
Sumf1	36.750000	0	0	0	147	0
Hopx	36.500000	0	0	0	146	0
Cltc	35.500000	0	0	0	142	0
Ctif	34.000000	0	0	0	136	0
Septin9	33.000000	0	132	0	0	0
Gm10142	33.000000	0	0	0	132	0
Gnb1l	32.750000	0	0	0	131	0
Axin2	32.750000	0	0	0	131	0
Polr1d	32.500000	0	0	0	130	0
Phc1	32.500000	130	0	0	0	0
Lnx2	32.500000	0	0	0	130	0
Pilrb1	32.250000	0	0	0	129	0
Ppme1	31.750000	0	0	0	127	0
C2cd3	31.750000	0	0	0	127	0
Amt	31.500000	0	0	0	126	0
Zfp445	31.000000	0	0	0	124	0
Ambra1	30.750000	0	0	0	123	0
Vps11	30.000000	0	0	0	120	0
Sec31a	30.000000	0	0	0	120	0
Mrpl30	29.500000	0	0	0	118	0
Mitd1	29.500000	0	0	0	118	0
Ube2f	29.250000	0	0	0	117	0
Wdr36	28.750000	0	0	0	115	0
Taf1	28.750000	0	0	0	115	0
Faap20	28.250000	0	113	0	0	0
Zfp788	27.500000	0	110	0	0	0
Sprr2a2	27.500000	0	0	0	110	0
Sprr2a1	27.500000	0	0	0	110	0
Rbm25	27.000000	0	0	0	108	0
Ccnd1	26.750000	0	0	0	107	0
Eci1	26.500000	0	0	0	106	0
Smim15	26.250000	105	0	0	0	0
Pla1a	26.250000	0	0	0	105	0
Orm3	26.250000	0	0	0	105	0
Arhgef4	26.250000	0	0	0	105	0
Mrpl21	26.000000	0	0	0	104	0
Ighmbp2	26.000000	0	0	0	104	0
Mrps31	25.500000	0	0	0	102	0
Nr1d1	25.250000	0	0	0	101	0
Rgs12	24.000000	0	0	0	96	0
Wfdc11	23.750000	0	0	0	95	0
Rpl27	23.500000	0	0	0	94	0
Ppfibp2	22.750000	91	0	0	0	0
Poldip3	22.750000	0	0	0	91	0
Nme1	21.500000	0	0	0	86	0
Phf12	20.500000	0	0	0	82	0
4931408C20Rik	19.500000	0	0	0	78	0
Mab21l3	19.000000	76	0	0	0	0
Smarca4	18.750000	0	0	0	75	0
AU018091	18.500000	0	0	0	74	0
Ajm1	17.500000	0	70	0	0	0
Mdm2	17.250000	0	0	0	69	0
