Target_genes	Tcf7|Average	SRX3154102|CD4-Positive_T-Lymphocytes	SRX4667998|CD4-Positive_T-Lymphocytes	SRX4668000|CD4-Positive_T-Lymphocytes	SRX1411153|CD4_CD8_double_positive_cells	SRX1267280|CD8-Positive_T-Lymphocytes	SRX1267281|CD8-Positive_T-Lymphocytes	SRX373141|CD8-Positive_T-Lymphocytes	SRX092472|EML_	SRX2438808|Natural_Killer_T-Cells	SRX2438811|Natural_Killer_T-Cells	SRX3154101|Tfh	SRX1411151|Thymocytes	SRX1411152|Thymocytes	SRX1411163|Thymocytes	SRX275397|Thymus	SRX389596|Thymus	SRX4667999|Treg	STRING
Sspn	672.823529	311	309	0	0	1046	547	418	771	1457	2340	775	532	749	1330	250	221	382	0
Asmt	453.058824	575	405	336	0	506	639	569	262	1042	711	723	197	208	526	304	306	393	0
Zfp703	417.235294	0	1053	0	0	950	0	0	1319	220	0	656	0	300	0	1338	578	679	0
Ddx20	370.941176	0	872	0	0	540	0	0	1301	0	0	429	0	431	396	1002	556	779	0
Axin2	353.000000	0	686	0	0	822	0	0	1042	272	0	443	0	365	189	1130	454	598	0
Oasl1	322.588235	335	0	0	997	0	98	126	248	916	461	260	538	856	105	249	295	0	0
Zfp142	315.352941	0	484	0	0	440	0	0	1416	111	0	307	0	0	180	1283	583	557	0
Bcs1l	315.352941	0	484	0	0	440	0	0	1416	111	0	307	0	0	180	1283	583	557	0
1190007I07Rik	294.352941	0	621	0	0	342	0	0	924	340	0	208	0	0	400	1235	466	468	0
Zfp12	279.000000	0	301	0	0	351	0	0	555	0	0	141	0	376	281	1719	828	191	0
Coq2	271.764706	0	223	0	0	206	0	0	1384	0	0	119	95	736	510	762	277	308	0
Slc25a28	237.823529	0	302	0	0	537	0	0	284	0	0	326	0	313	189	1205	448	439	0
Cuedc2	231.470588	0	399	0	0	350	0	0	1056	0	0	142	0	0	0	1299	483	206	0
Gtf2b	231.352941	0	401	0	0	458	0	0	1106	0	0	379	0	0	162	725	328	374	0
Rpf2	229.764706	0	336	0	0	620	0	0	1253	0	0	292	0	0	330	718	159	198	0
Sfi1	220.764706	0	0	0	0	0	0	0	184	205	392	0	382	557	1784	161	0	88	0
Elk4	213.764706	0	430	0	0	410	0	0	598	0	0	189	0	206	204	865	379	353	0
Cyb5r4	208.235294	0	191	0	0	261	0	152	1258	450	0	212	0	0	117	548	181	170	0
