Target_genes	Tcf7l2|Average	ERX161579|Colon	ERX161580|Colon	ERX161583|Colon	ERX161584|Colon	SRX2734776|Heart_Ventricles	SRX2734777|Heart_Ventricles	SRX2734782|Heart_Ventricles	SRX5647947|Preadiocytes	SRX5647948|Preadiocytes	SRX5647950|Preadiocytes	SRX5647951|Preadiocytes	ERX4312250|Thalamus	ERX4312254|Thalamus	ERX4312255|Thalamus	STRING
Axin2	891.000000	914	1156	880	811	0	164	118	0	197	1368	1265	1865	1906	1830	0
Cyb5r4	845.285714	351	449	228	276	90	302	0	136	598	2072	2091	2095	1946	1200	0
Zfp142	812.928571	183	220	0	119	179	211	0	0	96	1509	1632	2581	2733	1918	0
Bcs1l	812.928571	183	220	0	119	179	211	0	0	96	1509	1632	2581	2733	1918	0
Zfp703	652.785714	0	0	0	0	87	140	0	0	244	1287	1055	2117	2259	1950	0
Znrf3	622.857143	0	0	0	0	0	0	0	0	169	893	906	2295	2535	1922	0
Arl2	614.714286	462	493	150	110	0	0	0	0	0	620	769	1836	2501	1665	0
Ddx20	585.285714	196	310	132	208	70	237	0	0	140	994	1111	1744	1624	1428	0
Rev1	536.142857	0	0	0	0	0	0	0	0	0	557	512	2078	2549	1810	0
Cuedc2	500.214286	163	195	0	0	113	150	0	0	0	529	599	1985	1864	1405	0
Tpra1	499.000000	764	735	284	440	0	90	0	0	0	622	499	1135	1445	972	0
Snx17	495.214286	541	651	223	298	0	0	0	0	0	538	713	1232	1617	1120	0
Eif2b4	495.214286	541	651	223	298	0	0	0	0	0	538	713	1232	1617	1120	0
Coq2	486.142857	223	147	0	0	0	0	0	0	138	772	794	1725	1765	1242	0
Sec31a	468.714286	207	325	0	0	0	183	0	0	0	774	819	1618	1429	1207	0
Tcf7	459.357143	0	0	0	0	0	0	0	0	218	326	303	1802	2203	1579	0
Rbm25	434.857143	0	0	0	0	0	125	0	0	0	946	1072	1154	1667	1124	0
Asmt	426.642857	317	312	119	146	0	131	787	766	661	569	507	757	471	430	0
Zfp12	422.928571	0	0	0	0	0	0	0	0	0	831	926	1183	1964	1017	0
Myorg	410.785714	0	0	0	0	0	86	0	0	0	248	130	1655	2085	1547	0
1190007I07Rik	408.357143	111	136	0	0	0	0	0	0	0	689	694	1484	1613	990	0
Taf1	406.000000	201	210	103	118	87	70	0	0	0	958	949	947	1205	836	0
Hjurp	395.214286	298	340	238	241	0	0	0	0	62	598	776	629	1203	1148	0
