Target_genes	Rbpj|Average	SRX4670704|BEko	SRX4670705|BEko	SRX4740104|Brain_pericytes	SRX4740105|Brain_pericytes	SRX140327|C2C12	SRX140328|C2C12	SRX140329|C2C12	SRX140330|C2C12	SRX140331|C2C12	SRX140332|C2C12	SRX140337|C2C12	SRX140338|C2C12	SRX140339|C2C12	SRX140340|C2C12	SRX140342|C2C12	SRX140343|C2C12	SRX262848|F9	SRX262849|F9	SRX297989|F9	SRX297990|F9	SRX070892|Leukemia,_Lymphoid	SRX070895|Leukemia,_Lymphoid	ERX1348322|Neural_progenitor_cells	SRX287018|Neural_tube	SRX287019|Neural_tube	SRX485442|Neural_tube	SRX702808|T-ALL	SRX702809|T-ALL	SRX266509|T29	SRX266510|T29	SRX5551015|Unclassified	SRX5551016|Unclassified	SRX5551019|Unclassified	SRX5551020|Unclassified	STRING
Cnot10	363.088235	971	1125	853	839	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	586	410	1316	193	349	192	374	922	0	0	343	176	1787	1731	0
Asmt	327.558824	316	452	1132	1041	303	290	231	218	288	286	322	233	200	136	310	234	482	351	139	0	477	177	242	270	280	295	131	275	194	210	764	858	0	0	0
Sspn	318.088235	247	273	598	569	0	0	0	0	0	0	0	0	0	280	0	0	1607	1506	981	972	1239	323	336	0	217	0	463	721	0	0	483	0	0	0	0
Rpl23	303.294118	1058	888	584	428	0	0	0	0	0	0	0	0	0	0	0	0	459	0	171	0	796	329	770	400	251	399	167	604	0	0	375	135	1309	1189	0
Oasl1	297.794118	0	0	297	260	522	621	385	434	548	598	549	639	660	483	575	549	253	0	0	0	424	108	0	422	327	398	0	129	0	298	238	318	0	90	0
Gk5	260.235294	720	784	655	559	0	0	0	0	0	0	0	0	0	0	0	0	425	0	0	0	874	138	1174	336	288	338	0	314	0	0	235	254	905	849	0
Dhx35	188.470588	0	0	1383	1386	0	0	0	0	0	0	0	0	0	0	0	0	249	0	143	0	101	0	452	720	260	724	0	0	0	0	0	0	528	462	0
Rara	187.441176	329	250	696	686	0	0	0	0	0	0	0	0	0	0	0	0	193	0	145	0	0	0	552	505	321	504	0	0	0	0	103	0	1104	985	0
Atp5k	184.852941	320	0	540	362	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	346	0	653	189	119	191	0	362	0	0	247	145	1353	1168	0
Uqcrc2	178.000000	423	584	505	492	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	461	388	815	278	480	276	111	117	0	0	176	147	327	313	0
Zbtb11	173.176471	154	221	260	115	0	0	0	0	0	0	0	0	0	0	0	0	837	0	203	0	421	0	659	811	237	813	0	370	0	0	0	88	334	365	0
Cox18	172.764706	481	352	141	127	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	486	125	504	224	134	226	134	240	0	0	240	175	1175	899	0
Tmx3	170.029412	106	0	653	452	0	0	0	0	0	0	0	0	0	0	0	0	724	0	0	0	462	0	551	616	279	617	0	417	0	0	0	0	370	534	0
Lgmn	168.382353	140	226	861	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	204	1087	330	357	332	0	292	0	0	0	0	355	440	0
Mkln1	168.294118	0	0	1413	1393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810	351	141	336	0	0	0	0	0	74	681	523	0
Hjurp	165.000000	502	346	134	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	172	340	150	103	0	102	67	156	0	0	377	367	1316	1350	0
A730008H23Rik	165.000000	502	346	134	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	172	340	150	103	0	102	67	156	0	0	377	367	1316	1350	0
Tefm	164.058824	0	0	268	143	0	0	0	0	0	0	0	0	0	0	0	0	688	0	115	0	461	0	556	547	297	546	0	181	0	0	132	113	728	803	0
Timm13	159.235294	229	0	341	325	0	0	0	0	0	0	0	0	0	0	0	0	260	98	0	0	0	0	152	532	187	532	0	120	0	0	122	0	1343	1173	0
Ric8b	156.235294	0	0	324	449	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	149	1251	237	1254	0	0	0	0	0	0	647	875	0
Gpkow	155.705882	368	369	125	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	414	0	333	366	193	366	107	288	0	0	0	0	1113	1102	0
Ehd3	154.911765	0	0	2059	1424	0	78	0	0	0	0	0	0	0	0	0	0	696	0	0	0	0	0	168	256	330	256	0	0	0	0	0	0	0	0	0
Timm44	150.088235	364	369	221	135	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	823	0	495	274	93	273	0	193	0	0	258	242	615	492	0
Prc1	149.735294	504	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	113	418	0	148	0	0	0	0	0	0	0	1766	1755	0
Ist1	147.647059	528	247	118	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	306	0	125	266	207	263	0	0	0	0	107	0	1281	1270	0
Elmod2	143.235294	103	0	1476	1156	0	71	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	294	194	125	198	0	0	0	0	0	0	619	512	0
Tpmt	141.882353	683	643	203	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	0	0	0	116	184	0	0	0	0	1234	1167	0
Kdm1b	141.882353	683	643	203	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	0	0	0	116	184	0	0	0	0	1234	1167	0
Rbpj	141.794118	197	226	516	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	91	730	0	325	0	133	260	0	0	180	214	606	666	0
Spry4	138.470588	155	0	383	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	321	522	463	167	466	0	265	0	0	0	0	860	559	0
Sidt2	138.411765	236	143	537	543	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	170	0	541	253	133	253	0	0	0	0	0	0	906	774	0
Thumpd3	136.941176	642	482	194	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	164	581	0	0	0	0	0	0	0	177	0	1074	786	0
Sh3glb1	136.382353	416	305	185	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	499	241	147	275	0	137	0	0	351	184	874	694	0
Dennd6a	135.441176	602	553	563	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	114	259	0	0	0	160	152	0	0	103	0	785	808	0
Zfp850	134.382353	295	231	194	143	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	691	164	1011	177	314	178	0	181	0	0	171	0	286	265	0
Daxx	133.941176	203	206	426	391	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	559	127	0	0	0	0	0	0	0	0	73	0	1297	1097	0
Eps15l1	133.411765	271	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	877	322	0	321	0	159	0	0	0	0	1126	1102	0
Ddx55	132.852941	0	185	388	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	71	373	353	108	346	0	0	0	0	0	129	963	957	0
Poc5	132.529412	512	256	573	361	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	147	198	146	197	0	0	0	0	157	155	750	879	0
Nudcd1	130.617647	199	180	339	229	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	169	0	748	340	194	340	0	0	0	0	109	0	637	682	0
Eny2	130.617647	199	180	339	229	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	169	0	748	340	194	340	0	0	0	0	109	0	637	682	0
Zc3h15	130.588235	617	401	310	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	337	620	0	0	0	109	208	0	0	0	83	767	498	0
Sarnp	130.323529	339	290	158	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	417	250	0	252	0	180	0	0	120	116	1114	922	0
Ormdl2	130.323529	339	290	158	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	417	250	0	252	0	180	0	0	120	116	1114	922	0
Tfam	129.529412	388	314	225	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	317	922	0	203	0	175	269	0	0	121	106	477	331	0
Snx14	129.264706	0	0	372	290	0	0	0	0	0	0	0	0	0	0	0	0	411	0	0	0	160	0	527	149	123	148	0	0	0	0	112	122	1033	948	0
Rpl36a	128.441176	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	75	0	0	170	0	371	436	106	436	128	275	0	0	293	0	571	824	0
Napg	127.441176	156	0	240	280	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	183	0	605	373	235	373	0	0	0	0	213	145	547	620	0
Hey1	125.676471	215	163	928	905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	937	192	240	192	0	0	0	0	0	0	140	153	0
Fbxl19	123.617647	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	168	114	0	243	567	233	567	0	0	0	0	107	0	997	917	0
Get4	121.647059	499	193	104	141	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	178	0	0	0	64	174	0	0	257	173	1264	1016	0
Ubac2	120.294118	85	0	499	341	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	204	0	674	0	0	0	0	0	0	0	270	101	826	800	0
Plekhg2	118.029412	533	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	123	305	236	0	236	0	127	0	0	80	0	994	1032	0
Hinfp	117.470588	413	170	185	143	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	112	0	180	65	0	65	0	0	0	0	0	0	1330	1179	0
Hspe1	115.558824	183	130	302	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	165	1553	0	0	0	0	168	0	0	139	104	352	361	0
Hspd1	115.558824	183	130	302	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	165	1553	0	0	0	0	168	0	0	139	104	352	361	0
Zfp334	114.705882	0	0	567	497	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	296	527	336	525	0	0	0	0	0	0	390	450	0
Rictor	114.117647	585	462	308	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	147	1443	0	120	0	0	176	0	0	0	0	0	0	0
Actn4	114.000000	464	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	301	192	0	192	0	0	0	0	0	0	1064	1114	0
Proser1	111.705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	291	0	612	316	406	314	0	157	0	0	796	457	145	180	0
Nhlrc3	111.705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	291	0	612	316	406	314	0	157	0	0	796	457	145	180	0
Tsr1	110.705882	0	0	432	292	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	123	0	243	204	0	216	0	0	0	0	0	0	1058	1079	0
Sgsm2	110.705882	0	0	432	292	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	123	0	243	204	0	216	0	0	0	0	0	0	1058	1079	0
Brpf1	108.941176	198	166	291	284	0	0	0	0	0	0	0	0	0	0	0	0	165	0	174	0	275	0	114	95	0	94	116	0	0	0	167	121	687	757	0
Hes1	108.529412	0	0	307	322	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	222	0	587	420	147	420	186	447	0	0	131	0	108	149	0
Rnd1	107.764706	0	0	538	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	353	114	351	0	0	0	0	0	0	837	779	0
Polr2e	106.117647	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	205	155	1500	1413	0
Trappc9	105.235294	271	181	115	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	131	0	126	204	377	198	0	0	0	0	404	302	627	528	0
Hars2	105.058824	0	0	154	177	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	147	0	508	225	219	227	0	0	0	0	103	0	815	754	0
Hars	105.058824	0	0	154	177	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	147	0	508	225	219	227	0	0	0	0	103	0	815	754	0
Kctd5	104.676471	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	95	0	0	173	125	174	0	142	0	0	178	164	958	1127	0
Atp5d	103.764706	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	98	0	1509	1479	0
P4hb	103.029412	269	225	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	317	583	157	587	0	0	0	0	0	0	579	566	0
Rps29	101.617647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	306	314	127	620	181	487	135	0	405	0	0	389	342	0
Cr1l	100.058824	0	0	1017	727	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	136	0	264	213	146	213	0	0	0	0	0	0	329	227	0
Myl6b	99.500000	197	137	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	120	0	0	0	0	175	0	0	0	66	1227	1229	0
Gm20594	98.323529	0	0	0	0	298	359	465	430	527	425	0	0	233	185	0	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nck2	98.000000	0	0	1201	1173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	157	274	159	0	0	0	0	0	0	0	0	0
Atf6	97.264706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	173	0	124	81	154	81	0	0	0	0	332	161	1045	1016	0
Llgl1	97.205882	287	143	298	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	359	257	357	0	0	0	0	0	0	576	610	0
BC003965	96.588235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	500	105	0	0	149	0	0	0	0	0	122	88	1041	1181	0
Dhx8	96.382353	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	223	0	221	0	107	0	0	181	112	1118	1073	0
Eef1g	96.147059	360	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	127	120	1195	992	0
Prcc	95.970588	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1572	1561	0
Psmb2	95.882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101	297	0	0	0	0	0	0	0	0	426	285	594	557	0
Zfp433	95.794118	452	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	308	216	313	108	0	362	0	0	0	0	435	481	0
Gm32687	95.794118	452	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	308	216	313	108	0	362	0	0	0	0	435	481	0
Hat1	94.852941	322	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	134	315	0	0	0	0	0	0	0	0	0	898	1101	0
Smdt1	94.735294	670	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	141	0	0	0	0	0	0	0	0	0	921	1033	0
Npas4	94.088235	0	0	0	0	0	0	0	0	133	204	0	0	0	0	0	0	111	0	0	0	1464	968	0	0	0	0	0	0	0	0	0	0	158	161	0
Zfp35	93.970588	0	0	620	474	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	146	0	145	0	0	0	0	240	103	709	654	0
Pla2g12a	93.294118	422	292	185	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	696	0	151	0	0	0	0	0	0	0	412	433	0
Zfpl1	93.176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	0	0	0	134	0	0	0	0	0	191	154	977	1135	0
Cdca5	93.176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	0	0	0	134	0	0	0	0	0	191	154	977	1135	0
Pomp	92.647059	315	257	297	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	346	0	80	0	0	179	0	0	0	0	496	654	0
Naf1	92.264706	246	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	215	0	384	154	0	153	0	0	0	0	121	0	660	610	0
Pigk	92.176471	216	187	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	368	0	137	0	0	161	0	0	224	0	782	694	0
Plcxd2	91.764706	561	598	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0	150	0	0	0	0	694	575	0
Sac3d1	91.588235	0	0	518	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	423	0	0	0	0	0	0	0	123	0	785	832	0
Gigyf2	91.588235	673	339	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	0	0	0	0	0	0	0	83	0	719	646	0
Copg1	91.588235	482	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	90	95	946	990	0
Rpl22l1	91.264706	282	222	158	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	161	0	413	132	172	133	0	151	0	0	0	0	489	603	0
Ubald1	90.882353	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	501	291	155	291	0	0	0	0	166	102	726	596	0
H4c3	90.088235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	118	0	120	177	212	0	0	191	77	1011	1015	0
Tmem87a	89.705882	374	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	118	97	86	97	0	0	0	0	0	0	1003	853	0
Ganc	89.705882	374	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	118	97	86	97	0	0	0	0	0	0	1003	853	0
Rgl2	89.676471	394	214	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	175	176	175	0	0	0	0	164	0	643	612	0
Rlf	89.205882	253	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	678	234	245	0	0	0	0	137	0	0	235	210	350	357	0
Ilf3	88.970588	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	108	161	150	157	0	0	0	0	0	0	1000	886	0
